Date,Soneri Bank Ltd
20090813,127.27099323043285
20090814,127.27099323043285
20090815,127.27099323043285
20090816,127.27099323043285
20090817,127.68075781307137
20090818,124.53495486775147
20090819,140.04537375980357
20090820,140.92153815203545
20090821,132.51620671375704
20090822,132.51620671375704
20090823,132.51620671375704
20090824,129.80987828970996
20090825,138.64635650914693
20090826,135.68311110929088
20090827,134.77795693441712
20090828,133.26741543506878
20090829,133.26741543506878
20090830,133.26741543506878
20090831,127.89913351502032
20090901,128.08366732545102
20090902,126.08704396330725
20090903,116.71686064999764
20090904,114.82810535858572
20090905,114.82810535858572
20090906,114.82810535858572
20090907,115.38308418676006
20090908,122.37298745951995
20090909,116.92285171636462
20090910,118.39333855499036
20090911,117.40101563093562
20090912,117.40101563093562
20090913,117.40101563093562
20090914,122.81184560179858
20090915,117.26335995870159
20090916,115.83934858481072
20090917,114.03633024154387
20090918,114.04295446069271
20090919,114.04295446069271
20090920,114.04295446069271
20090921,114.04295446069271
20090922,114.04295446069271
20090923,114.04295446069271
20090924,106.07140963225982
20090925,108.81985136223045
20090926,108.81985136223045
20090927,108.81985136223045
20090928,113.36358647216095
20090929,108.00473261314553
20090930,120.40593303348095
20091001,117.02136725822989
20091002,116.69080666898432
20091003,116.69080666898432
20091004,116.69080666898432
20091005,111.57345704667219
20091006,103.11568617020988
20091007,101.17996449549905
20091008,89.93047024973552
20091009,85.29171238787384
20091010,85.29171238787384
20091011,85.29171238787384
20091012,89.91344135112371
20091013,90.69224517887857
20091014,84.51988611924811
20091015,84.08340677864399
20091016,78.22690076570127
20091017,78.22690076570127
20091018,78.22690076570127
20091019,90.18022666547763
20091020,89.01123108457455
20091021,94.83830008893072
20091022,101.14168935950262
20091023,97.04393410772401
20091024,97.04393410772401
20091025,97.04393410772401
20091026,110.65378689498837
20091027,116.15887833943475
20091028,126.87905420183979
20091029,128.166677631649
20091030,121.0930771337138
20091031,121.0930771337138
20091101,121.0930771337138
20091102,129.645268011959
20091103,126.29116243188895
20091104,123.29517402318365
20091105,127.52247934240468
20091106,123.87114937710598
20091107,123.87114937710598
20091108,123.87114937710598
20091109,123.87114937710598
20091110,133.42986321009886
20091111,136.0815425128773
20091112,135.16184077244694
20091113,130.7209754307329
20091114,130.7209754307329
20091115,130.7209754307329
20091116,125.17892592083315
20091117,128.46759314391682
20091118,130.77379083621048
20091119,127.48770050542612
20091120,125.51569051795497
20091121,125.51569051795497
20091122,125.51569051795497
20091123,127.39188094368309
20091124,123.85002846158892
20091125,122.5360184933144
20091126,124.85684074604447
20091127,124.85684074604447
20091128,124.85684074604447
20091129,124.85684074604447
20091130,124.85684074604447
20091201,130.7877927317302
20091202,131.82288920414825
20091203,133.96116909412189
20091204,138.09630494407375
20091205,138.09630494407375
20091206,138.09630494407375
20091207,135.84047485299942
20091208,144.95210103911978
20091209,140.52472805977536
20091210,135.68518829264102
20091211,136.85006541040673
20091212,136.85006541040673
20091213,136.85006541040673
20091214,130.3117871778128
20091215,130.30694205825546
20091216,125.32886981855853
20091217,120.10402108320366
20091218,102.1994448803076
20091219,102.1994448803076
20091220,102.1994448803076
20091221,102.18060456219943
20091222,100.19882135203598
20091223,99.93573749849077
20091224,100.2189624452999
20091225,100.2189624452999
20091226,100.2189624452999
20091227,100.2189624452999
20091228,100.2189624452999
20091229,99.35430300719146
20091230,95.17712102342853
20091231,90.08011153047393
20100101,90.08011153047393
20100102,90.08011153047393
20100103,90.08011153047393
20100104,102.84494864024741
20100105,101.5364894111451
20100106,90.89648797810968
20100107,91.44361190608954
20100108,99.63162733941226
20100109,99.63162733941226
20100110,99.63162733941226
20100111,89.92119653886938
20100112,91.64620600818624
20100113,90.50372077194082
20100114,90.78109693885216
20100115,87.58281431439119
20100116,87.58281431439119
20100117,87.58281431439119
20100118,88.12482021604971
20100119,87.05843946282828
20100120,87.32072474327315
20100121,90.1894865992326
20100122,89.10619019382369
20100123,89.10619019382369
20100124,89.10619019382369
20100125,89.91540957273666
20100126,90.1048468682941
20100127,89.40054805220258
20100128,95.45701197676405
20100129,98.52386812806125
20100130,98.52386812806125
20100131,98.52386812806125
20100201,102.38323973637308
20100202,105.00565637691417
20100203,104.89034925490701
20100204,104.73222028413815
20100205,104.73222028413815
20100206,104.73222028413815
20100207,104.73222028413815
20100208,93.1745581790735
20100209,91.00482112070765
20100210,95.38648049373158
20100211,94.15512693364924
20100212,94.66912966841622
20100213,94.66912966841622
20100214,94.66912966841622
20100215,109.93093302026507
20100216,99.81453720665421
20100217,98.18591700516866
20100218,98.39355434481591
20100219,97.56808439277998
20100220,97.56808439277998
20100221,97.56808439277998
20100222,95.98822145103873
20100223,98.80555201137655
20100224,107.69200135741124
20100225,109.33741814516841
20100226,107.31339308202092
20100227,107.31339308202092
20100228,107.31339308202092
20100301,116.98732571681614
20100302,120.17152145695998
20100303,130.9345119707768
20100304,122.64510625802703
20100305,118.70684512162815
20100306,118.70684512162815
20100307,118.70684512162815
20100308,116.7046027909322
20100309,120.06399836786655
20100310,124.58633966766311
20100311,120.41747558735356
20100312,124.51493141848583
20100313,124.51493141848583
20100314,124.51493141848583
20100315,119.9760520959563
20100316,129.06945499916057
20100317,137.74578581279215
20100318,129.12593121776425
20100319,140.15108881559658
20100320,140.15108881559658
20100321,140.15108881559658
20100322,135.62964983650366
20100323,135.62964983650366
20100324,139.33368934108435
20100325,137.81672375456435
20100326,137.78785864113658
20100327,137.78785864113658
20100328,137.78785864113658
20100329,140.39856344619562
20100330,147.78991904892985
20100331,130.25917226922496
20100401,127.37948930082842
20100402,132.21036682225989
20100403,132.21036682225989
20100404,132.21036682225989
20100405,131.39224353636484
20100406,135.05575363295546
20100407,131.59809161347889
20100408,128.39844032274448
20100409,132.30118466616324
20100410,132.30118466616324
20100411,132.30118466616324
20100412,134.35364866482377
20100413,137.04230768859622
20100414,134.0009737769794
20100415,128.1454679006791
20100416,129.8831987487538
20100417,129.8831987487538
20100418,129.8831987487538
20100419,130.8548130210584
20100420,132.68616370081497
20100421,153.59299605655931
20100422,130.89221947322568
20100423,133.65271268372953
20100424,133.65271268372953
20100425,133.65271268372953
20100426,134.80950629919363
20100427,139.3422121867897
20100428,146.3834354807422
20100429,149.2721473401029
20100430,148.4066985553672
20100501,148.4066985553672
20100502,148.4066985553672
20100503,154.87542545381578
20100504,147.70903108586364
20100505,149.73525350937823
20100506,150.28717505469606
20100507,158.14207100712645
20100508,158.14207100712645
20100509,158.14207100712645
20100510,158.17189162352776
20100511,162.7640117847374
20100512,168.04132438732162
20100513,158.97206402124965
20100514,164.73429871648108
20100515,164.73429871648108
20100516,164.73429871648108
20100517,179.95606757174687
20100518,177.62679451054396
20100519,178.8758930423371
20100520,178.59678329623887
20100521,192.93272829733198
20100522,192.93272829733198
20100523,192.93272829733198
20100524,203.75817470211013
20100525,221.29975082526715
20100526,214.41085115685613
20100527,225.0148100078725
20100528,227.45724799806078
20100529,227.45724799806078
20100530,227.45724799806078
20100531,240.09239692048206
20100601,242.98485062227266
20100602,226.05886304164005
20100603,208.98553944768258
20100604,214.01283263535998
20100605,214.01283263535998
20100606,214.01283263535998
20100607,208.1941317752067
20100608,218.35693745278607
20100609,217.3185306767645
20100610,232.60724657947623
20100611,227.72568063513336
20100612,227.72568063513336
20100613,227.72568063513336
20100614,244.1018341614227
20100615,245.98524714802616
20100616,228.53224089237924
20100617,231.89201336280792
20100618,237.45457249034837
20100619,237.45457249034837
20100620,237.45457249034837
20100621,230.5141211829911
20100622,235.31946983419482
20100623,241.235565641927
20100624,238.83969328971938
20100625,227.2712261367372
20100626,227.2712261367372
20100627,227.2712261367372
20100628,244.5980423766387
20100629,208.9327877090497
20100630,179.14470210980096
20100701,187.7302983160741
20100702,192.88738074588713
20100703,192.88738074588713
20100704,192.88738074588713
20100705,200.72216881894784
20100706,212.8106815863913
20100707,204.49280454989065
20100708,192.25469311126542
20100709,190.89744352906064
20100710,190.89744352906064
20100711,190.89744352906064
20100712,199.06466650904792
20100713,200.56403268137512
20100714,195.730987328214
20100715,202.4395255167019
20100716,203.8133705953125
20100717,203.8133705953125
20100718,203.8133705953125
20100719,194.48581828037942
20100720,202.02681892767248
20100721,206.71370695219804
20100722,210.46867421028384
20100723,218.36904450502414
20100724,218.36904450502414
20100725,218.36904450502414
20100726,253.65027980658476
20100727,260.4136541713246
20100728,244.16628385785478
20100729,252.7733804270346
20100730,253.74253416388856
20100731,253.74253416388856
20100801,253.74253416388856
20100802,270.65887076727853
20100803,269.4684929638083
20100804,271.5380223714615
20100805,270.20290264443867
20100806,263.3853352210042
20100807,263.3853352210042
20100808,263.3853352210042
20100809,271.50090202561205
20100810,287.422684361533
20100811,284.53556079010514
20100812,285.781964271626
20100813,286.59376858609363
20100814,286.59376858609363
20100815,286.59376858609363
