Date,Jilin Cheng Cheng Group Co Ltd
20121003,411.9865399359252
20121004,411.9865399359252
20121005,411.9865399359252
20121006,411.9865399359252
20121007,411.9865399359252
20121008,419.7677163210439
20121009,408.51350646964204
20121010,408.7559951154424
20121011,412.62773213414255
20121012,407.45769138987373
20121013,407.45769138987373
20121014,407.45769138987373
20121015,399.79937026794954
20121016,403.68010781017256
20121017,405.9490707331522
20121018,401.77883173872937
20121019,403.0283533587691
20121020,403.0283533587691
20121021,403.0283533587691
20121022,402.8137740656407
20121023,399.8625019841835
20121024,399.11458628727405
20121025,391.96170142685713
20121026,392.9435124384657
20121027,392.9435124384657
20121028,392.9435124384657
20121029,398.6322112295426
20121030,394.5944613509385
20121031,380.21879294355307
20121101,372.3656201964757
20121102,362.67276925962517
20121103,362.67276925962517
20121104,362.67276925962517
20121105,353.63559253209866
20121106,360.2153117240437
20121107,362.82258479018975
20121108,366.82172954687735
20121109,361.9418634523193
20121110,361.9418634523193
20121111,361.9418634523193
20121112,357.8883199445268
20121113,361.7459459054709
20121114,356.60935580762964
20121115,360.689739884627
20121116,362.0751381899159
20121117,362.0751381899159
20121118,362.0751381899159
20121119,363.9094786120782
20121120,363.70811883252696
20121121,364.63319642948585
20121122,364.1885686886654
20121123,365.3296519055511
20121124,365.3296519055511
20121125,365.3296519055511
20121126,365.5756006798419
20121127,364.4615706556595
20121128,363.61466381237796
20121129,362.2811551397526
20121130,365.4691781307736
20121201,364.9935900621255
20121202,364.9935900621255
20121203,363.23381507865696
20121204,363.882683989246
20121205,367.2703523830005
20121206,367.498293751528
20121207,368.73894473479976
20121208,368.73894473479976
20121209,368.73894473479976
20121210,370.4455775139003
20121211,370.088313965068
20121212,371.3732591429114
20121213,372.18210666166095
20121214,377.1367645572207
20121215,377.1367645572207
20121216,377.1367645572207
20121217,377.84717983430664
20121218,378.0405448480151
20121219,378.40961217403895
20121220,378.7885363627618
20121221,379.212507605146
20121222,379.212507605146
20121223,379.212507605146
20121224,378.9322761489587
20121225,381.59014263527126
20121226,382.65897189933514
20121227,383.28051559269926
20121228,384.5148925507919
20121229,384.5148925507919
20121230,384.5148925507919
20121231,384.7349902984627
20130101,384.2496634406149
20130102,384.2496634406149
20130103,384.2496634406149
20130104,386.0978151840875
20130105,386.0978151840875
20130106,386.0978151840875
20130107,386.9091653539301
20130108,386.5435114775669
20130109,383.51245734922696
20130110,381.18885971714184
20130111,379.8694460832182
20130112,379.8694460832182
20130113,379.8694460832182
20130114,384.6238824763732
20130115,385.3721019697934
20130116,386.5325818684929
20130117,381.10670765229037
20130118,384.1714447385661
20130119,384.1714447385661
20130120,384.1714447385661
20130121,382.24217361147146
20130122,381.5603895003615
20130123,381.71397034388156
20130124,380.99943217665106
20130125,380.50388854808284
20130126,380.50388854808284
20130127,380.50388854808284
20130128,382.9576736244965
20130129,383.40797687710153
20130130,386.10245484716745
20130131,385.936394676507
20130201,388.14529158177567
20130202,388.14529158177567
20130203,388.14529158177567
20130204,334.73515748611464
20130205,307.30440413163655
20130206,281.38461943265446
20130207,264.3215056036618
20130208,240.2472468767955
20130209,240.2472468767955
20130210,240.2472468767955
20130211,240.2472468767955
20130212,240.2472468767955
20130213,240.2472468767955
20130214,240.2472468767955
20130215,240.2472468767955
20130216,240.2472468767955
20130217,240.2472468767955
20130218,225.81478008037857
20130219,221.5581284407126
20130220,218.37189764292197
20130221,209.67209144160435
20130222,222.915753291911
20130223,222.915753291911
20130224,222.915753291911
20130225,220.58121156922047
20130226,223.45495865644688
20130227,217.83863508487858
20130228,228.98239782132748
20130301,223.4968756539586
20130302,223.4968756539586
20130303,223.4968756539586
20130304,276.5666692984562
20130305,275.09346062056574
20130306,278.63835791920195
20130307,278.46951037400805
20130308,290.3818681959205
20130309,290.3818681959205
20130310,290.3818681959205
20130311,285.7290073380818
20130312,288.2810309873921
20130313,297.19486873954435
20130314,297.35488992343767
20130315,292.5365559115167
20130316,292.5365559115167
20130317,292.5365559115167
20130318,295.78808663719263
20130319,297.1712852391419
20130320,298.54002295122035
20130321,314.1345593673028
20130322,312.7273493685943
20130323,312.7273493685943
20130324,312.7273493685943
20130325,310.236606757064
20130326,315.6237039833098
20130327,311.4990951773672
20130328,319.1030426083417
20130329,326.6878278609736
20130330,326.6878278609736
20130331,326.6878278609736
20130401,322.8828257109041
20130402,333.3344922865839
20130403,343.4934712898617
20130404,343.4934712898617
20130405,343.4934712898617
20130406,343.4934712898617
20130407,343.4934712898617
20130408,342.4848517519836
20130409,341.82135545768705
20130410,336.5295770503546
20130411,342.5114011478879
20130412,334.16754826607524
20130413,334.16754826607524
20130414,334.16754826607524
20130415,339.69847632112123
20130416,338.8158245414645
20130417,335.56396007299156
20130418,331.9610802461293
20130419,328.91298404609324
20130420,328.91298404609324
20130421,328.91298404609324
20130422,332.8103455117509
20130423,350.51379646935334
20130424,345.7006669786627
20130425,347.05316390140746
20130426,287.11964767843415
20130427,287.11964767843415
20130428,287.11964767843415
20130429,287.11964767843415
20130430,287.11964767843415
20130501,286.7613861404618
20130502,328.58285128040745
20130503,327.3296156044264
20130504,327.3296156044264
20130505,327.3296156044264
20130506,324.59154798899823
20130507,318.0055001096743
20130508,320.4952552529877
20130509,328.7957467751897
20130510,316.1386287870759
20130511,316.1386287870759
20130512,316.1386287870759
20130513,316.91656826523734
20130514,327.4935604567438
20130515,326.19579811153994
20130516,328.9703401014198
20130517,329.6064165529553
20130518,329.6064165529553
20130519,329.6064165529553
20130520,333.51133327222465
20130521,334.25864582450885
20130522,333.9266795863389
20130523,333.97335179067414
20130524,335.67484306135736
20130525,335.67484306135736
20130526,335.67484306135736
20130930,136.74895886500593
20131001,136.54649227456457
20131002,136.54649227456457
20131003,136.54649227456457
20131004,136.54649227456457
20131005,136.54649227456457
20131006,136.54649227456457
20131007,136.54649227456457
20131008,135.52463436281715
20131009,133.9548611042989
20131010,136.36882138342486
20131011,134.10742840985142
20131012,134.10742840985142
20131013,134.10742840985142
20131014,132.06645543630117
20131015,123.3972967624201
20131016,131.21975025432664
20131017,132.844984695412
20131018,130.6251638240999
20131019,130.6251638240999
20131020,130.6251638240999
20131021,129.4948809727328
20131022,131.64538029370925
20131023,138.5460665425866
20131024,141.4966543064604
20131025,147.35485661448953
20131026,147.35485661448953
20131027,147.35485661448953
20131028,143.74981813455457
20131029,155.34531800727711
20131030,148.14975282358546
20131031,147.19326396644
20131101,147.17436586585825
20131102,147.17436586585825
20131103,147.17436586585825
20131104,145.02194145665237
20131105,144.49377935218703
20131106,136.27771371896566
20131107,140.04020680958422
20131108,141.11531239699798
20131109,141.11531239699798
20131110,141.11531239699798
20131111,141.27629428286167
20131112,142.57015682297504
20131113,151.21144478451035
20131114,150.33506544419973
20131115,149.88591358365417
20131116,149.88591358365417
20131117,149.88591358365417
20131118,148.6911106696119
20131119,147.39257369991807
20131120,147.6614193876529
20131121,148.6545655420656
20131122,148.86451291259004
20131123,148.86451291259004
20131124,148.86451291259004
20131125,150.9375312746399
20131126,151.07419997931297
20131127,146.27547663166635
20131128,149.13493050395445
20131129,209.3998586684979
20131130,209.3998586684979
20131201,209.12936116251623
20131202,224.89750208818222
20131203,221.07388230907938
20131204,220.21767074739637
20131205,214.9678189436121
20131206,217.94823219714303
20131207,217.94823219714303
20131208,217.94823219714303
20131209,217.33936694248288
20131210,217.15129916399806
20131211,221.75867243172127
20131212,220.0336945549537
20131213,221.69013498573207
20131214,221.69013498573207
20131215,221.69013498573207
20131216,223.99264534870468
20131217,225.55723362297095
20131218,225.98407113173164
20131219,226.5016225189711
20131220,231.41976081621812
20131221,231.41976081621812
20131222,231.41976081621812
20131223,236.10287554797156
20131224,235.86566327651045
20131225,231.14088076105804
20131226,238.45593760753624
20131227,237.77829726352203
20131228,237.77829726352203
20131229,237.77829726352203
20131230,234.72839575973063
20131231,242.8740121643336
20140101,242.5798502139923
20140102,245.0933147249973
20140103,245.32893185564612
20140104,245.32893185564612
20140105,245.32893185564612
20140106,251.66455815139392
20140107,253.2134122912655
20140108,258.0258951314028
20140109,262.2497152601281
20140110,267.96350577367184
20140111,267.96350577367184
20140112,267.96350577367184
20140113,270.5101816726983
20140114,262.72190814739054
20140115,263.4322902663123
20140116,262.7940912894804
20140117,264.00310725277
20140118,264.00310725277
20140119,264.00310725277
20140120,270.8270284405131
20140121,268.2877643601616
20140122,262.8695458291388
20140123,262.8343906436233
20140124,261.86692129651567
20140125,261.86692129651567
20140126,261.86692129651567
20140127,263.4220292852977
20140128,260.088914791836
20140129,260.50220023491715
20140130,255.92468545872032
20140131,255.92468545872032
20140201,255.6294040866023
20140202,255.6294040866023
20140203,255.6294040866023
20140204,255.6294040866023
20140205,255.6294040866023
20140206,255.6294040866023
20140207,253.7552369244037
20140208,253.7552369244037
20140209,253.7552369244037
20140210,248.39471135350468
20140211,247.73699307613367
20140212,242.21085159367632
20140213,244.71009820024145
20140214,241.4490103136437
20140215,241.4490103136437
20140216,241.4490103136437
20140217,236.74385541439207
20140218,239.7490388668919
20140219,238.365669225311
20140220,242.60317095587217
20140221,251.48072560037724
20140222,251.48072560037724
20140223,251.48072560037724
20140224,257.85867536876646
20140225,266.1742525710439
20140226,264.39833106999595
20140227,265.80932809004815
20140228,255.8097952456557
