Date,Beh-Property Co Ltd
20050619,244.52597337049266
20050620,244.95859647190696
20050621,239.93413380434103
20050622,237.79108201662604
20050623,238.01494737136562
20050624,239.83855039738026
20050625,239.83855039738026
20050626,239.83855039738026
20050627,238.38317276680496
20050628,230.19409520686435
20050629,230.10083219099042
20050630,237.14320403124063
20050701,241.81184543436956
20050702,241.81184543436956
20050703,241.81184543436956
20050704,260.1623363980906
20050705,263.19037181640215
20050706,260.7530922063335
20050707,260.2520292412323
20050708,267.4586122892112
20050709,267.4586122892112
20050710,267.4586122892112
20050711,266.994943078223
20050712,266.65104640509446
20050713,267.30643704758904
20050714,264.54257219008537
20050715,263.5251210133606
20050716,263.5251210133606
20050717,263.5251210133606
20050718,265.9903033461518
20050719,271.6091932791285
20050720,267.7230785867811
20050721,281.58518690582804
20050722,276.0984776240696
20050723,276.0984776240696
20050724,276.0984776240696
20050725,261.0637268046383
20050726,259.10828498519635
20050727,259.14635901340336
20050728,262.442596411915
20050729,271.9258230554154
20050730,271.9258230554154
20050731,271.9258230554154
20050801,258.42332092712405
20050802,255.84341065748853
20050803,251.13511929979433
20050804,226.37691020439672
20050805,221.05711098040226
20050806,221.05711098040226
20050807,221.05711098040226
20050808,224.9733260595335
20050809,224.19591912578008
20050810,223.84662388421728
20050811,226.99822636865608
20050812,225.633833552467
20050813,225.633833552467
20050814,225.633833552467
20111026,193.5043469731857
20111027,187.34563659537733
20111028,179.7101571305028
20111029,179.7101571305028
20111030,179.7101571305028
20111031,175.76309022721227
20111101,173.89709948213408
20111102,170.69332852788267
20111103,169.46571278165675
20111104,164.57232504048488
20111105,164.57232504048488
20111106,164.57232504048488
20111107,168.0594139680569
20111108,168.14690829966491
20111109,164.4550162068922
20111110,167.98114571407416
20111111,161.78721284871938
20111112,161.78721284871938
20111113,161.78721284871938
20111114,166.18548976651942
20111115,163.73746150985664
20111116,165.15727387363413
20111117,164.9227900871626
20111118,166.50920178500488
20111119,166.50920178500488
20111120,166.50920178500488
20111121,163.49407303454535
20111122,164.06855081824156
20111123,162.63558079286096
20111124,162.36197633517406
20111125,162.71897004235694
20111126,162.71897004235694
20111127,162.71897004235694
20111128,163.25368958488522
20111129,162.54390755117086
20111130,160.78234510856348
20111201,159.49408769300544
20111202,160.4426359137158
20111203,160.4426359137158
20111204,160.4426359137158
20111205,159.2279936403322
20111206,157.27524793212356
20111207,157.11599711242803
20111208,158.46599817770945
20111209,157.77105974982337
20111210,157.77105974982337
20111211,157.77105974982337
20111212,157.76245655533097
20111213,157.8707634023808
