Date,Tianjin Songjiang Co Ltd
20170323,374.50345555873565
20170324,377.0201336546687
20170325,377.0201336546687
20170326,377.0201336546687
20170327,375.328254989524
20170328,375.72296595280835
20170329,376.794867146929
20170330,372.662189019154
20170331,372.9747676764959
20170401,372.87727996247116
20170402,372.87727996247116
20170403,372.87727996247116
20170404,372.87727996247116
20170405,371.81220063337025
20170406,343.03889783308233
20170407,344.41017447430966
20170408,344.41017447430966
20170409,344.41017447430966
20170410,343.6700417710852
20170411,342.38106666763525
20170412,342.03185736761816
20170413,340.44621495252045
20170414,338.59914481002403
20170415,338.59914481002403
20170416,338.59914481002403
20170417,336.45285182556216
20170418,336.8540626486504
20170419,335.4551170348937
20170420,337.5537834995818
20170421,337.9081166862939
20170422,337.9081166862939
20170423,337.9081166862939
20170424,335.4470134994627
20170425,335.8230240459526
20170426,334.9987193852074
20170427,335.50354087399126
20170428,335.45390957702944
20170429,335.45390957702944
20170430,335.45390957702944
20170501,335.3684483055008
20170502,333.5978054123763
20170503,297.2027148333396
20170504,312.7357135339606
20170505,327.64450118595806
20170506,327.64450118595806
20170507,327.64450118595806
20170508,339.0986416098107
20170509,336.66121197113137
20170510,325.47690650497617
20170511,338.48102233133426
20170512,337.73336337368914
20170513,337.73336337368914
20170514,337.73336337368914
20170515,334.0194724108774
20170516,327.12134151025293
20170517,326.15200737210347
20170518,333.82774211019984
20170519,332.3845533168676
20170520,332.3845533168676
20170521,332.3845533168676
20170522,336.3296592589378
20170523,339.3569051074402
20170524,341.9667331858335
20170525,341.5682417716806
20170526,337.91758807375555
20170527,337.91758807375555
20170528,337.91758807375555
20170529,337.91758807375555
20170530,337.91758807375555
20170531,332.1625533665893
20170601,334.2321515617487
20170602,329.00496029781215
20170603,329.00496029781215
20170604,329.00496029781215
20170605,325.8000242574896
20170606,329.11914213992964
20170607,326.29738014365194
20170608,326.6767053946857
20170609,325.9280325490595
20170610,325.9280325490595
20170611,325.9280325490595
20170612,324.7564509430212
20170613,325.7365211416955
20170614,330.13381522197767
20170615,325.8370879088942
20170616,324.56929847234596
20170617,324.56929847234596
20170618,324.56929847234596
20170619,321.3025599863355
20170620,305.78533603617865
20170621,311.7115230798887
20170622,312.6186877941399
20170623,314.93710908179514
20170624,314.93710908179514
20170625,314.93710908179514
20170626,311.1730247085264
20170627,310.37411087818873
20170628,303.92315163400434
20170629,301.79995907463916
20170630,301.1101000986684
20170701,301.0346925008631
20170702,301.0346925008631
20170703,297.92864737670163
20170704,294.65674217854666
20170705,294.6467901371912
20170706,289.49044590699805
20170707,288.6507151143736
20170708,288.6507151143736
20170709,288.6507151143736
20170710,286.2697181291121
20170711,284.61379069498184
20170712,285.3940943545593
20170713,285.8538954762153
20170714,284.8330053547972
20170715,284.8330053547972
20170716,284.8330053547972
20170717,291.9445215413217
20170718,287.42289682648163
20170719,285.6616450954188
20170720,280.2038221449304
20170721,266.21895804472587
20170722,266.21895804472587
20170723,266.21895804472587
20170724,259.6844925285774
20170725,266.50358289909525
20170726,252.56550304450062
20170727,254.4174320953643
20170728,254.6760974384057
20170729,254.6760974384057
20170730,254.6760974384057
20170731,255.56324602381392
20170801,258.4512586303027
20170802,261.693930258055
20170803,257.93058358262454
20170804,286.4421848317584
20170805,286.4421848317584
20170806,286.4421848317584
20170807,286.07098056202545
