Date,Harbin Gong Da High-Tech Enterprise Development Co Ltd
20130509,70.16875659740862
20130510,70.09640163115552
20130511,70.09640163115552
20130512,70.09640163115552
20130513,70.0686962616547
20130514,65.54126568947603
20130515,64.65167508475417
20130516,65.78329235075117
20130517,59.33163857328802
20130518,59.33163857328802
20130519,59.33163857328802
20130520,59.510884881208426
20130521,60.26943816846446
20130522,64.27893507355905
20130523,64.6869081922391
20130524,63.92789694738888
20130525,63.92789694738888
20130526,63.92789694738888
20130527,62.84288301734096
20130528,64.92025396149052
20130529,63.49512793009178
20130530,64.31683026394568
20130531,67.88966820111938
20130601,67.79004571629085
20130602,67.79004571629085
20130603,67.43320225904102
20130604,70.18472710690085
20130605,69.84776807687034
20130606,71.73970188650233
20130607,75.742491005045
20130608,75.742491005045
20130609,75.742491005045
20130610,75.742491005045
20130611,75.742491005045
20130612,75.742491005045
20130613,78.62228427010024
20130614,75.36015315330853
20130615,75.36015315330853
20130616,75.36015315330853
20130617,75.52621206814163
20130618,74.27375473848683
20130619,74.92219165671008
20130620,78.41095495110993
20130621,80.32804329623681
20130622,80.32804329623681
20130623,80.32804329623681
20130624,87.16143204017496
20130625,89.87883888291192
20130626,88.60613864904747
20130627,91.6366038760547
20130628,94.97207668157581
20130629,94.97207668157581
20130630,94.97207668157581
20130701,89.32350989764527
20130702,88.10583162814797
20130703,89.53820053501568
20130704,90.18168410520869
20130705,92.05163538115391
20130706,92.05163538115391
20130707,92.05163538115391
20131129,47.195736372248966
20131130,47.195736372248966
20131201,47.12984436101354
20131202,51.35570953661235
20131203,50.74124077387733
20131204,49.79610909757364
20131205,49.72189886271219
20131206,49.42058174707607
20131207,49.42058174707607
20131208,49.42058174707607
20131209,49.01048947188533
20131210,47.89335937730649
20131211,49.28964319533066
20131212,49.631889750607
20131213,48.271240563018836
20131214,48.271240563018836
20131215,48.271240563018836
20131216,48.94415676218301
20131217,49.56432872707479
20131218,49.211907462709675
20131219,48.76610772962129
20131220,50.17302432133476
20131221,50.17302432133476
20131222,50.17302432133476
20131223,51.847957064745934
20131224,50.85223001174599
20131225,48.92188594194035
20131226,48.91041225578232
20131227,47.338004026381284
20131228,47.338004026381284
20131229,47.338004026381284
20131230,41.950733792868895
20131231,67.69787373721239
20140101,67.61257030889817
20140102,67.97766251395343
20140103,70.12193851859219
20140104,70.12193851859219
20140105,70.12193851859219
20140106,73.52537282438064
20140107,72.4616836228714
20140108,73.55487149208012
20140109,76.0002706511241
20140110,74.52923760826624
20140111,74.52923760826624
20140112,74.52923760826624
20140113,76.82680214658491
20140114,73.15524023211607
20140115,73.41197031576681
20140116,72.65291625493636
20140117,75.45653502948443
20140118,75.45653502948443
20140119,75.45653502948443
20140120,75.3629285071607
20140121,72.94379699546433
20140122,72.10073254094564
20140123,72.53959276893654
20140124,71.86742661037859
20140125,71.86742661037859
20140126,71.86742661037859
20140127,73.89724076633189
20140128,71.6870953005612
20140129,71.39904283979286
20140130,70.97414423916425
20140131,70.97414423916425
20140201,70.8895084741879
20140202,70.8895084741879
20140203,70.8895084741879
20140204,70.8895084741879
20140205,70.8895084741879
20140206,70.8895084741879
20140207,70.45109210981406
20140208,70.45109210981406
20140209,70.45109210981406
20140210,69.66888178810682
20140211,68.96613193401143
20140212,66.00091832137917
20140213,68.44886749174265
20140214,65.87550990732196
20140215,65.87550990732196
20140216,65.87550990732196
20140217,65.49880849105611
20140218,67.19082344020788
20140219,66.13607768685756
20140220,69.36357691406236
20140221,70.90710015990972
20140222,70.90710015990972
20140223,70.90710015990972
20140224,70.71710026310204
20140225,71.87071092347578
20140226,71.24007009486398
20140227,71.60444492290749
20140228,70.0502932608446
20140301,69.97024087215732
20140302,69.97024087215732
20140303,68.99119883938938
20140304,68.14143277079104
20140305,68.31828253658978
20140306,66.17548338159061
20140307,67.50594456755503
20140308,67.50594456755503
20140309,67.50594456755503
20140310,70.4304722554088
20140311,70.49236655235066
20140312,66.92290723885682
20140313,68.18666606843111
20140314,69.45442526797146
20140315,69.45442526797146
20140316,69.45442526797146
20140317,65.24508240239159
20140318,65.38596971857623
20140319,66.2568810682388
20140320,67.6241549269339
20140321,65.23808861587769
20140322,65.23808861587769
20140323,65.23808861587769
20140324,65.4508701695464
20140325,63.28363546566623
20140326,64.27079514640714
20140327,65.24508671249
20140328,67.54901341363941
20140329,67.54901341363941
20140330,67.54901341363941
20140331,71.93945396779634
20140401,70.87424368313965
20140402,72.99361651398603
20140403,72.94239077544646
20140404,71.94984108026254
20140405,71.94984108026254
20140406,71.94984108026254
20140407,71.94984108026254
20140408,72.05116338380124
20140409,71.89012249343797
20140410,72.57344666873087
20140411,73.72252852835348
20140412,73.72252852835348
20140413,73.72252852835348
20140414,73.29138338166248
20140415,73.09142997057866
20140416,73.2648992046021
20140417,73.81565499243594
20140418,73.115154174477
20140419,73.115154174477
20140420,73.115154174477
20140421,76.34204541019888
20140422,76.24789540493724
20140423,77.7848157176829
20140424,77.83170873814858
20140425,88.16289766955597
20140426,88.16289766955597
20140427,88.16289766955597
20140428,94.15281530996477
20140429,93.15893412580157
20140430,114.34341621425651
20140501,114.22644701771911
20140502,114.22644701771911
20140503,114.22644701771911
20140504,114.22644701771911
20140505,115.0795397129993
20140506,115.00230009009918
20140507,117.12403480745894
20140508,117.34237011996092
20140509,118.57079991340427
20140510,118.57079991340427
20140511,118.57079991340427
20140512,117.10174044656907
20140513,116.28748195212998
20140514,117.9375913800669
20140515,120.25339149146787
20140516,119.87752297874276
20140517,119.87752297874276
20140518,119.87752297874276
20140519,120.53005754814282
20140520,120.2674311591687
20140521,119.83977433365482
20140522,121.21760221040783
20140523,120.2754598978386
20140524,120.2754598978386
20140525,120.2754598978386
20140526,119.80724355558907
20140527,118.99724150450146
20140528,119.10613629890369
20140529,120.85738113653811
20140530,116.98144787882516
20140531,116.98144787882516
20140601,116.86811326712882
20140602,116.86811326712882
20140603,116.84198972779885
20140604,118.26286732032861
20140605,117.0862049789702
20140606,117.50928004153525
20140607,117.50928004153525
20140608,117.50928004153525
20140609,119.10287070512331
20140610,118.25628703044399
20140611,116.61935068262416
20140612,117.27403257254092
20140613,117.00995433463135
20140614,117.00995433463135
20140615,117.00995433463135
20140616,119.28846897067466
20140617,116.88620401502828
20140618,112.64171102418065
20140619,118.55201766167714
20140620,118.60358924911188
20140621,118.60358924911188
20140622,118.60358924911188
20140623,117.70691824269666
20140624,117.98947243400042
20140625,116.8256844073716
20140626,116.908265021834
20140627,117.3791742930316
20140628,117.3791742930316
20140629,117.3791742930316
20140630,115.13897713916124
20140701,114.27868179383191
20140702,115.95399243410881
20140703,116.16566736040335
20140704,114.86894507587631
20140705,114.86894507587631
20140706,114.86894507587631
20140707,117.11378299565004
20140708,116.39485116134176
20140709,120.78374537606162
20140710,119.99172327331463
20140711,116.68694533637822
20140712,116.68694533637822
20140713,116.68694533637822
20140714,116.23379655803252
20140715,114.38486922950324
20140716,114.87829667372475
20140717,113.98320212454152
20140718,115.56589722554135
20140719,115.56589722554135
20140720,115.56589722554135
20140721,118.23790993159517
20140722,116.2229215487169
20140723,116.31163325799287
20140724,118.41749228996697
20140725,118.63841513219629
20140726,118.63841513219629
20140727,118.63841513219629
20140728,114.2500727144687
20140729,115.07753634254814
20140730,113.80705396798423
20140731,112.98797769356763
20140801,112.19977559509341
20140802,112.19977559509341
20140803,112.19977559509341
20140804,112.92770222882554
20140805,112.43525430766495
20140806,112.13987391753851
20140807,114.617069848686
20140808,114.44985873365917
20140809,114.44985873365917
20140810,114.44985873365917
20140811,114.22236097276968
20140812,112.57455037437862
20140813,112.36551519758267
20140814,111.6593621012212
20140815,110.14966099482432
20140816,110.14966099482432
20140817,110.14966099482432
20140818,110.38346214428084
20140819,107.706075454279
20140820,108.20642715240962
20140821,98.71797396415216
20140822,101.3498003458339
20140823,101.3498003458339
20140824,101.3498003458339
20140825,103.101637496647
20140826,106.16575623372127
20140827,106.64189669739552
20140828,110.59869394569971
20140829,109.51260369358361
20140830,109.51260369358361
20140831,109.51260369358361
20140901,108.87747560747877
20140902,106.94303323564795
20140903,107.27987628699513
20140904,105.79666056785342
20140905,105.69212179229346
20140906,105.69212179229346
20140907,105.69212179229346
20140908,105.69212179229346
20140909,103.12285523182939
20140910,103.00087609394853
20140911,103.97844022463123
20140912,103.60044585454739
20140913,103.60044585454739
20140914,103.60044585454739
20140915,101.33721839871288
20140916,105.96146012209103
20140917,104.27113827732617
20140918,100.23006799146134
20140919,100.88327316722139
20140920,100.88327316722139
20140921,100.88327316722139
20140922,103.3703827504317
20140923,98.52953859465931
