Date,Ecobank Transnational Inc
20100404,101.52737866136574
20100405,101.52737866136574
20100406,96.31538387017879
20100407,96.18702738523776
20100408,92.07649867267588
20100409,90.74110986801863
20100410,90.74110986801863
20100411,90.74110986801863
20100412,91.07323390679534
20100413,92.04030107933585
20100414,95.65451032326276
20100415,101.52842840769584
20100416,99.31516198759269
20100417,99.31516198759269
20100418,99.31516198759269
20100419,102.20375999033641
20100420,103.32531075317009
20100421,105.54036475972825
20100422,107.64065848358935
20100423,102.36180244493762
20100424,102.36180244493762
20100425,102.36180244493762
20100426,101.83796910863319
20100427,110.84033561151618
20100428,119.33717798320471
20100429,125.21844230644577
20100430,97.87621212435747
20100501,97.87621212435747
20100502,97.87621212435747
20100503,97.87621212435747
20100504,98.59057145045338
20100505,92.9953839137622
20100506,92.9953839137622
20100507,85.97372105283172
20100508,85.97372105283172
20100509,85.97372105283172
20100510,89.39392122707636
20100511,85.69588268942054
20100512,81.36939844400773
20100513,85.04057913119796
20100514,89.89905207094625
20100515,89.89905207094625
20100516,89.89905207094625
20100517,93.2123809194587
20100518,76.18594362139486
20100519,82.05553597809708
20100520,84.14625039821756
20100521,91.14574625662314
20100522,91.14574625662314
20100523,91.14574625662314
20100524,92.97227803299668
20100525,102.72416313086869
20100526,104.82243893516814
20100527,99.91149622255674
20100528,118.52536766944279
20100529,118.52536766944279
20100530,118.52536766944279
20100531,118.52536766944279
20100601,118.10497281108375
20100602,118.80699757713053
20100603,126.71112510864532
20100604,117.67929560100268
20100605,117.67929560100268
20100606,117.67929560100268
20100607,124.61990071881556
20100608,135.88340925374644
20100609,136.87497383885142
20100610,138.34774631949279
20100611,126.4694865264176
20100612,126.4694865264176
20100613,126.4694865264176
20100614,125.61374436439331
20100615,125.62480176515807
20100616,120.97479862058351
20100617,120.72057642578352
20100618,130.15426304729058
20100619,130.15426304729058
20100620,130.15426304729058
20100621,129.1671343717046
20100622,122.16436414661206
20100623,121.6038322888718
20100624,127.71546552444028
20100625,129.49365598838534
20100626,129.49365598838534
20100627,129.49365598838534
20100628,134.29578480074045
20100629,130.22997068894193
20100630,100.54314989818073
20100701,101.25676553031757
20100702,102.20481054341619
20100703,102.20481054341619
20100704,102.20481054341619
20100705,101.48531893193663
20100706,98.32601627238593
20100707,96.58477667767883
20100708,99.4502293768574
20100709,107.21842258725023
20100710,107.21842258725023
20100711,107.21842258725023
20100712,112.88943754146075
20100713,109.53745287038379
20100714,109.83625378586599
20100715,112.890030091716
20100716,113.09298604760603
20100717,113.09298604760603
20100718,113.09298604760603
20100719,113.09619662360178
20100720,111.4450128506126
20100721,113.17346711266525
20100722,109.51931137911022
20100723,109.84424210619072
20100724,109.84424210619072
20100725,109.84424210619072
20100726,105.23812849066412
20100727,99.2607483434133
20100728,97.67171493461201
20100729,101.318912323482
20100730,88.74494551254027
20100731,88.74494551254027
20100801,88.74494551254027
20100802,95.9674419790864
20100803,99.40067875178784
20100804,98.45577143013956
20100805,98.45577143013956
20100806,98.74630725321276
20100807,98.74630725321276
20100808,98.74630725321276
20100809,99.29424662830186
20100810,100.6887970450889
20100811,101.80830869506457
20100812,96.10021638066758
20100813,92.81007287255505
20100814,92.81007287255505
20100815,92.81007287255505
20100816,95.24690014190949
20100817,92.32396642487247
20100818,95.15142915003551
20100819,93.17441417751613
20100820,93.36020396960065
20100821,93.36020396960065
20100822,93.36020396960065
20100823,93.05528772410379
20100824,99.78113842047038
20100825,103.68750336150613
20100826,105.06815941049318
20100827,105.62365104892773
20100828,105.62365104892773
20100829,105.62365104892773
20100830,106.50234560094995
20100831,91.12782142569452
20100901,89.07853949338407
20100902,88.38326056422142
20100903,90.64697406812813
20100904,90.64697406812813
20100905,90.64697406812813
20100906,90.7187952390752
20100907,94.06809168340594
20100908,95.11942240183318
20100909,95.11942240183318
20100910,95.11942240183318
20100911,95.11942240183318
20100912,95.11942240183318
20100913,96.44074005621621
20100914,96.14108066995904
20100915,96.9905780158959
20100916,107.781414176056
20100917,108.07138414329636
20100918,108.07138414329636
20100919,108.07138414329636
20100920,110.24395839149925
20100921,112.37266710953034
20100922,120.47296954489806
20100923,130.23513194713502
20100924,134.81604426567256
20100925,134.81604426567256
20100926,134.81604426567256
20100927,138.76574054192636
20100928,137.50391953258753
20100929,129.7684348400627
20100930,123.82050733826037
20101001,123.82050733826037
20101002,123.82050733826037
20101003,123.82050733826037
20101004,130.64750275462424
20101005,118.64622494399045
20101006,119.96518809551432
20101007,126.67877332750746
20101008,130.0942864826388
20101009,130.0942864826388
20101010,130.0942864826388
20101011,122.48621285499846
20101012,121.38010585214477
20101013,119.52419899937856
20101014,120.94858068470549
20101015,113.40164152500536
20101016,113.40164152500536
20101017,113.40164152500536
20101018,107.4651725362264
20101019,108.0494452716658
20101020,108.65613880021074
20101021,119.19805572572099
20101022,125.93359958604518
20101023,125.93359958604518
20101024,125.93359958604518
20101025,115.57308827057928
20101026,118.39958183887599
20101027,112.54274325641859
20101028,109.51609064130842
20101029,102.55488592881335
20101030,102.55488592881335
20101031,102.55488592881335
20101101,103.18251899431885
20101102,102.18608989751507
20101103,103.00197512226347
20101104,103.19615319778119
20101105,103.87055036092241
20101106,103.87055036092241
20101107,103.87055036092241
20101108,110.7032887768242
20101109,105.73933156647756
20101110,94.02813464445234
20101111,94.65720837591101
20101112,99.6978269342357
20101113,99.6978269342357
20101114,99.6978269342357
20101115,99.52977556673729
20101116,99.52977556673729
20101117,99.52977556673729
20101118,99.21533732665294
20101119,103.57104848163326
20101120,103.57104848163326
20101121,103.57104848163326
20101122,97.4971555823285
20101123,102.05785765848043
20101124,106.42574415411929
20101125,98.33064062479014
20101126,102.32604174138604
20101127,102.32604174138604
20101128,102.32604174138604
20101129,109.02430591858875
20101130,115.92077979505196
20101201,110.44592506446345
20101202,110.01700051483284
20101203,116.28350233001584
20101204,116.28350233001584
20101205,116.28350233001584
20101206,118.06364096907197
20101207,110.90896449404862
20101208,112.19588786249835
20101209,114.69566349114093
20101210,121.70168961911861
20101211,121.70168961911861
20101212,121.70168961911861
20101213,122.78085473404857
20101214,115.48480116291466
20101215,123.04471931308913
20101216,119.20272274236699
20101217,119.16347227510911
20101218,119.16347227510911
20101219,119.16347227510911
20101220,123.88890308037776
20101221,122.58776262654366
20101222,114.91968100916931
20101223,60.608730542495685
20101224,60.45479871790785
20101225,60.45479871790785
20101226,60.45479871790785
20101227,60.45479871790785
20101228,60.45479871790785
20101229,116.83884589297627
20101230,113.6434655346266
20101231,132.33149965141806
20110101,132.33149965141806
20110102,132.33149965141806
20110103,132.33149965141806
20110104,127.09217951790662
20110105,120.77260438494841
20110106,118.67189051734499
20110107,121.95996254488914
20110108,121.95996254488914
20110109,121.95996254488914
20110110,123.86004067756066
20110111,120.10409973414464
20110112,121.2390434666749
20110113,121.62031661534012
20110114,120.91408829956477
20110115,120.91408829956477
20110116,120.91408829956477
20110117,122.4840814755198
20110118,124.44087160701669
20110119,125.34606966657303
20110120,118.64070650238975
20110121,115.79833132570228
20110122,115.79833132570228
20110123,115.79833132570228
20110124,115.90211168268121
20110125,117.75621075409676
20110126,116.40683149803927
20110127,118.67571479777347
20110128,121.54313153883751
20110129,121.54313153883751
20110130,121.54313153883751
20110131,122.30560784018046
20110201,123.85951880929852
20110202,118.4147980372318
20110203,117.99970783775613
20110204,118.41855887477097
20110205,118.41855887477097
20110206,118.41855887477097
20110207,117.73727658245546
20110208,121.32072894663169
20110209,117.55596045684064
20110210,119.58523192205726
20110211,117.70127627102691
20110212,117.70127627102691
20110213,117.70127627102691
20110214,119.4453827324157
20110215,119.4453827324157
20110216,120.46266346424363
20110217,118.51328908130859
20110218,119.20202973460957
20110219,119.20202973460957
20110220,119.20202973460957
20110221,118.88935454293592
20110222,128.9058751649602
20110223,121.23606952339978
20110224,119.56761760523517
20110225,121.00307460751765
20110226,121.00307460751765
20110227,121.00307460751765
20110228,120.30572526234508
20110301,122.33224764493885
20110302,126.74424761539706
20110303,130.09120879785212
20110304,143.6632110555926
20110305,143.6632110555926
20110306,143.6632110555926
20110307,149.2407880201364
20110308,151.19762364044388
20110309,151.82619507177262
20110310,151.65874020304665
20110311,151.3103058836727
20110312,151.3103058836727
20110313,151.3103058836727
20110314,160.0514575099384
20110315,155.9442696142109
20110316,165.48206558748882
20110317,184.89295287824575
20110318,180.08507453251644
20110319,180.08507453251644
20110320,180.08507453251644
20110321,166.7498779905635
20110322,155.02948691163783
20110323,159.538869518364
20110324,161.34110554056278
20110325,168.07804599653332
20110326,168.07804599653332
20110327,168.07804599653332
20110328,175.92499897926263
20110329,178.0104999207786
20110330,186.29175344863214
20110331,135.35836070741945
20110401,139.44311575873488
20110402,139.44311575873488
20110403,139.44311575873488
20110404,142.3126757768098
20110405,143.52413281920872
20110406,144.78828587106602
20110407,137.44915866080729
20110408,136.78546694603048
20110409,136.78546694603048
20110410,136.78546694603048
20110411,137.3870315409524
20110412,132.83255497358945
20110413,133.98983532568897
20110414,134.5684735740336
20110415,131.84511743606788
20110416,131.84511743606788
20110417,131.84511743606788
20110418,131.23203608816638
20110419,138.4244910480691
20110420,139.60894947582105
20110421,139.81656248506852
20110422,139.81656248506852
20110423,139.81656248506852
20110424,139.81656248506852
20110425,139.81656248506852
20110426,139.81656248506852
20110427,136.9669180595325
20110428,133.99909525695855
20110429,136.77258936657216
20110430,136.77258936657216
20110501,136.77258936657216
20110502,136.77258936657216
20110503,143.8871589042102
20110504,134.73054040525693
20110505,135.81246998188357
20110506,137.67932489281344
20110507,137.67932489281344
20110508,137.67932489281344
20110509,142.82842217971054
20110510,140.89626439419752
20110511,146.48901333386618
20110512,144.54805147457233
20110513,140.01188940259553
20110514,140.01188940259553
20110515,140.01188940259553
20110516,144.08399971979736
20110517,142.88211059691838
20110518,145.8669121794701
20110519,144.9116243980253
20110520,147.89784085518272
20110521,147.89784085518272
20110522,147.89784085518272
20110523,145.28053834852187
20110524,144.0731750640465
20110525,148.2088575795123
20110526,147.88210393566732
20110527,168.09047559010338
20110528,168.09047559010338
20110529,168.09047559010338
20110530,168.09047559010338
20110531,148.56620455397564
20110601,145.11553203353944
20110602,139.251481188802
20110603,139.03610780424333
20110604,139.03610780424333
20110605,139.03610780424333
20110606,142.6123324512212
20110607,140.9506056252247
20110608,133.04397134978933
20110609,129.037909891684
20110610,132.01243071137594
20110611,132.01243071137594
20110612,132.01243071137594
20110613,132.62146851707823
20110614,143.49574399217636
20110615,149.60030112198558
20110616,145.94494926427907
20110617,150.87073823235886
20110618,150.87073823235886
20110619,150.87073823235886
20110620,142.4457241547332
20110621,155.7333579911068
20110622,158.44378592914825
20110623,151.7194434443214
20110624,152.70882901652524
20110625,152.70882901652524
20110626,152.70882901652524
20110627,147.30337136717984
20110628,153.81565703552297
20110629,151.19155611539782
20110630,151.32714405141212
20110701,152.55880873251826
20110702,152.55880873251826
20110703,152.55880873251826
