Date,DongfengSci-Tech Group Co Ltd
20020422,1556.7569225910486
20020423,1538.295227811255
20020424,1503.2765932687867
20020425,1490.1551432865429
20020426,1464.566739670367
20020427,1464.566739670367
20020428,1464.566739670367
20020429,1478.9817432872885
20020430,1510.6387123588
20020501,1505.3816355694294
20020502,1505.3816355694294
20020503,1505.3816355694294
20020504,1505.3816355694294
20020505,1505.3816355694294
20020506,1505.3816355694294
20020507,1505.3816355694294
20020508,1513.6162353549846
20020509,1517.344399457616
20020510,1518.5387240886796
20020511,1518.5387240886796
20020512,1518.5387240886796
20020513,1524.8757406766156
20020514,1545.2197455342587
20020515,1530.361590298854
20020516,1536.392252097421
20020517,1532.8556341778108
20020518,1532.8556341778108
20020519,1532.8556341778108
20020520,1541.3496789284789
20020521,1525.5436848078768
20020522,1519.7977297849816
20020523,1519.8159186247947
20020524,1535.1073160934225
20020525,1535.1073160934225
20020526,1535.1073160934225
20020527,1567.143090637571
20020528,1591.189024696315
20020529,1652.995588608623
20020530,1643.3349382721628
20020531,1642.4139415859051
20020601,1636.3774917209585
20020602,1636.3774917209585
20020603,1679.207543167429
20020604,1647.3902774549745
20020605,1674.9756962131473
20020606,1636.1112617233148
20020607,1633.236569488435
20020608,1633.236569488435
20020609,1633.236569488435
20020610,1631.1026435639415
20020611,1626.711847465687
20020612,1631.5366224276434
20020613,1620.7173669651402
20020614,1631.1774464820237
20020615,1631.1774464820237
20020616,1631.1774464820237
20020617,1642.2142663800876
20020618,1618.765338888094
20020619,1614.5777089819862
20020620,1592.9363762364608
20020621,1542.1999111926257
20020622,1542.1999111926257
20020623,1542.1999111926257
20020624,1442.716950114855
20020625,1430.9251944546966
20020626,1405.3872779870758
20020627,1428.4133658959836
20020628,1430.3688651775806
20020629,1430.3688651775806
20020630,1430.3688651775806
20020701,1434.0599992325456
20020702,1354.6380713046137
20020703,1304.1035571126486
20020704,1295.2933857676169
20020705,1273.701528761587
20020706,1273.701528761587
20020707,1273.701528761587
20020708,1281.242482519763
20020709,1336.7815155960886
20020710,1345.5807240345946
20020711,1332.7185712994947
20020712,1332.2961777509652
20020713,1332.2961777509652
20020714,1332.2961777509652
20020715,1368.2696029919346
20020716,1351.912105663958
20020717,1320.5010035116077
20020718,1304.288460941536
20020719,1271.9054076767477
20020720,1271.9054076767477
20020721,1271.9054076767477
20020722,1294.45049262837
20020723,1308.700264301012
20020724,1306.9914770466787
20020725,1295.1677332736306
20020726,1315.9833519307233
20020727,1315.9833519307233
20020728,1315.9833519307233
20020729,1315.5978226919474
20020730,1331.3775544961745
20020731,1345.7979165689972
20020801,1320.8860722432162
20020802,1323.7357310996445
20020803,1323.7357310996445
20020804,1323.7357310996445
20020805,1330.0921465249487
20020806,1339.1132487619727
20020807,1327.9124078358134
20020808,1333.8721014645912
20020809,1327.1063337370558
20020810,1327.1063337370558
20020811,1327.1063337370558
20020812,1323.4813742934032
20020813,1323.115213216503
20020814,1319.6859686752705
20020815,1313.057493847738
20020816,1316.3759817218383
20020817,1316.3759817218383
20020818,1316.3759817218383
20020819,1312.1421568388055
20020820,1308.2482006561
20020821,1309.3067427284857
20020822,1304.6025039510498
20020823,1307.9235580689208
20020824,1307.9235580689208
20020825,1307.9235580689208
20020826,1311.6471240864141
20020827,1319.871977496869
20020828,1328.3349159797067
20020829,1320.8328959977787
20020830,1308.1320028240395
20020831,1308.1320028240395
20020901,1302.2523658928344
20020902,1312.0675717303495
20020903,1313.337977778892
20020904,1314.4371252421424
20020905,1322.3440668387107
20020906,1327.646740278689
20020907,1327.646740278689
20020908,1327.646740278689
20020909,1341.2704883040026
20020910,1344.6317925494832
20020911,1351.01335404388
20020912,1350.7565003930301
20020913,1350.2690057907432
20020914,1350.2690057907432
20020915,1350.2690057907432
20020916,1385.5107228539216
20020917,1414.4737983729215
20020918,1426.0962010958829
20020919,1376.331792752628
20020920,1395.3523121904832
20020921,1395.3523121904832
20020922,1395.3523121904832
20020923,1401.694207243469
20020924,1394.8698925234207
20020925,1392.0781088074689
20020926,1391.6035440802352
20020927,1376.023118487916
20020928,1376.023118487916
20020929,1376.023118487916
20020930,1376.023118487916
20021001,1369.4931524642543
20021002,1369.4931524642543
20021003,1369.4931524642543
20021004,1369.4931524642543
20021005,1369.4931524642543
20021006,1369.4931524642543
20021007,1369.4931524642543
20021008,1427.6228940524757
20021009,1431.144443790937
20021010,1452.8557794808582
20021011,1456.7845319026371
20021012,1456.7845319026371
20021013,1456.7845319026371
20021014,1447.854645050865
20021015,1443.7957921953707
20021016,1370.5432542967478
20021017,1399.7249167071984
20021018,1393.0249681861492
20021019,1393.0249681861492
20021020,1393.0249681861492
20021021,1406.5397800128046
20021022,1392.2231292200127
20021023,1367.0909686422629
20021024,1372.4794992377613
20021025,1413.9227660588163
20021026,1413.9227660588163
20021027,1413.9227660588163
20021028,1448.992272871341
20021029,1445.9068830303358
20021030,1469.7579001608924
20021031,1456.2254797037183
20021101,1445.1627504098847
20021102,1445.1627504098847
20021103,1445.1627504098847
20021104,1428.7952916975366
20021105,1399.783094541462
20021106,1421.8432656597713
20021107,1447.2302948467575
20021108,1490.2680381927848
20021109,1490.2680381927848
20021110,1490.2680381927848
20021111,1511.9276701601286
20021112,1554.92423041119
20021113,1533.0329218681584
20021114,1569.1769305220462
20021115,1537.571531351226
20021116,1537.571531351226
20021117,1537.571531351226
20021118,1545.1220874057062
20021119,1514.1363876959124
20021120,1522.0794794442936
20021121,1549.121439357885
20021122,1522.7495844093214
20021123,1522.7495844093214
20021124,1522.7495844093214
20021125,1516.0616731361056
20021126,1533.279185622029
20021127,1478.4992627649262
20021128,1448.395060737693
20021129,1426.190732084996
20021130,1426.190732084996
20021201,1418.6362238608338
20021202,1452.2806996958116
20021203,1438.9318290650058
20021204,1431.5811197803175
20021205,1441.764038210539
20021206,1433.4393379303842
20021207,1433.4393379303842
20021208,1433.4393379303842
20021209,1441.4761429104744
20021210,1464.3705702117784
20021211,1462.2347440137703
20021212,1454.9638026916182
20021213,1439.9289804508528
20021214,1439.9289804508528
20021215,1439.9289804508528
20021216,1443.9735717205565
20021217,1425.423930377262
20021218,1422.4850722266633
20021219,1427.4861783551087
20021220,1437.2604028987787
20021221,1437.2604028987787
20021222,1437.2604028987787
20021223,1444.4484882730399
20021224,1472.8412209421385
20021225,1468.8279293439039
20021226,1499.6568689174483
20021227,1509.5321642874494
20021228,1509.5321642874494
20021229,1509.5321642874494
20021230,1467.6598044787281
20021231,1489.2044896346404
20030101,1480.9061206643703
20030102,1469.217068793255
20030103,1461.9505480449002
20030104,1461.9505480449002
20030105,1461.9505480449002
20030106,1461.6877733907781
20030107,1486.2801520753499
20030108,1455.6942182183236
20030109,1450.2584732955986
20030110,1443.6121008779116
20030111,1443.6121008779116
20030112,1443.6121008779116
20030113,1465.4609158791754
20030114,1423.9696641757018
20030115,1449.4362736760697
20030116,1445.2727250584921
20030117,1465.489216377857
20030118,1465.489216377857
20030119,1465.489216377857
20030120,1465.2234958527176
20030121,1495.9984258995325
20030122,1503.6115888084637
20030123,1497.8604086937305
20030124,1483.2338562078407
20030125,1483.2338562078407
20030126,1483.2338562078407
20030127,1459.408734846028
20030128,1469.0764264608033
20030129,1439.3294670570533
20030130,1439.3294670570533
20030131,1439.3294670570533
20030201,1430.8478664674703
20030202,1430.8478664674703
20030203,1430.8478664674703
20030204,1430.8478664674703
20030205,1430.8478664674703
20030206,1430.8478664674703
20030207,1430.8478664674703
20030208,1430.8478664674703
20030209,1430.8478664674703
20030210,1423.2732348690145
20030211,1416.7019048901138
20030212,1414.7507040626308
20030213,1427.6888519792167
20030214,1435.928716924242
20030215,1435.928716924242
20030216,1435.928716924242
20030217,1422.0979690049257
20030218,1437.022134832001
20030219,1430.5275808474291
20030220,1442.586055753369
20030221,1437.8297011432944
20030222,1437.8297011432944
20030223,1437.8297011432944
20030224,1424.9321605282867
20030225,1407.7839523730934
20030226,1413.0116979462446
20030227,1410.8193390343783
20030228,1341.8147129608321
