Date,Al Mal Investment Co KSC
20051019,0.09304669497159664
20051020,0.09304669497159664
20051021,0.09304669497159664
20051024,0.08688863951091257
20051025,0.08307664097044255
20051026,0.08563434778081608
20051027,0.08563434778081608
20051028,0.08563434778081608
20051031,0.1503707266926777
20051101,0.1482034009947502
20051102,0.14595289554905524
20051103,0.14595289554905524
20051104,0.14595289554905524
20051105,0.14595289554905524
20051106,0.14595289554905524
20051107,0.1562283866294729
20051108,0.1754332908068804
20051109,0.1677856711201093
20051110,0.1677856711201093
20051111,0.1677856711201093
20051114,0.1414950594242281
20051115,0.14599754853630045
20051116,0.1561051330401719
20051117,0.1561051330401719
20051118,0.1561051330401719
20051121,0.1565269152692596
20051122,0.16187312969292464
20051123,0.16600020138333227
20051124,0.16600020138333227
20051125,0.16600020138333227
20051128,0.17904280262506342
20051129,0.17565988320830803
20051130,0.16906332282775433
20051201,0.16906332282775433
20051202,0.16906332282775433
20051205,0.16652731364766102
20051206,0.18181378294659956
20051207,0.19037038423002894
20051208,0.19037038423002894
20051209,0.19037038423002894
20051212,0.2687636036654751
20051213,0.25282838833131405
20051214,0.28099969188713775
20051215,0.28099969188713775
20051216,0.28099969188713775
20051219,0.2956162487957641
20051220,0.2973824142280491
20051221,0.2973279431982223
20051222,0.2973279431982223
20051223,0.2973279431982223
20051226,0.2957180458926134
20051227,0.277446997889546
20051228,0.3233481259024031
20051229,0.3233481259024031
20051230,0.3233481259024031
20051231,0.3233481259024031
20060101,0.3233481259024031
20060102,0.3409078006373538
20060103,0.3286205494188181
20060104,0.3354362161587995
20060105,0.3354362161587995
20060106,0.3354362161587995
20060123,0.3557014582513063
20060124,0.2916554434817942
20060125,0.2949810899359935
20060126,0.2949810899359935
20060127,0.2949810899359935
20060130,0.3082667444153058
20060131,0.4003236908086553
20060201,0.3974419223414076
20060202,0.3974419223414076
20060203,0.3974419223414076
20060204,0.3974419223414076
20060206,0.419741734465512
20060207,0.4409003520032198
20060208,0.4528514207843799
20060209,0.4528514207843799
20060210,0.4528514207843799
20060213,0.47697958770379945
20060214,0.5185586527178472
20060215,0.592412028251093
20060216,0.592412028251093
20060217,0.592412028251093
20060220,1.490452417952206
20060221,1.470939810649888
20060222,1.5237833468487747
20060223,1.5237833468487747
20060224,1.5237833468487747
20060225,1.5237833468487747
20060226,1.5237833468487747
20060227,1.7645623043747807
20060228,2.1349868243558254
20060301,1.9828370307046563
20060302,1.9828370307046563
20060303,1.9828370307046563
