Date,Australia & New Zealand Banking Group Ltd
20080303,52.3571977527157
20080304,48.13867815130205
20080305,48.99982584567822
20080306,49.224577092425285
20080307,55.441071138506345
20080308,55.441071138506345
20080309,55.441071138506345
20080310,57.41289637024317
20080311,52.995124710842354
20080312,45.23700141951452
20080313,49.24564156095939
20080314,48.39788951972436
20080315,48.39788951972436
20080316,48.39788951972436
20080317,54.573280599640974
20080318,52.2564943145033
20080319,41.9815821172858
20080320,41.255586135467965
20080321,41.255586135467965
20080322,41.255586135467965
20080323,41.255586135467965
20080324,41.255586135467965
20080325,34.96819200073131
20080326,35.56652058702673
20080327,36.36191226900269
20080328,39.326940082132396
20080329,39.326940082132396
20080330,39.326940082132396
20080331,47.89753499823729
20080401,48.886302218855505
20080402,43.32779274871357
20080403,40.15347772541357
20080404,42.60370411269812
20080405,42.60370411269812
20080406,42.60370411269812
20080407,49.96464313286846
20080408,52.18099304804327
20080409,56.22440191129051
20080410,58.96367976053181
20080411,57.86858952153224
20080412,57.86858952153224
20080413,57.86858952153224
20080414,61.42180666301583
20080415,61.44054070495387
20080416,58.720407984230484
20080417,58.78207794014301
20080418,64.20742793997792
20080419,64.20742793997792
20080420,64.20742793997792
20080421,53.889872881057066
20080422,55.971040206093825
20080423,50.30311705105844
20080424,53.65883729383262
20080425,53.65883729383262
20080426,53.65883729383262
20080427,53.65883729383262
20080428,49.28694592806391
20080429,50.58380452207873
20080430,54.65865897101237
20080501,55.602955871264165
20080502,48.863939248809565
20080503,48.863939248809565
20080504,48.863939248809565
20080505,46.664464448510444
20080506,48.94700329521129
20080507,52.23967735990596
20080508,52.272548748814216
20080509,47.22334817182866
20080510,47.22334817182866
20080511,47.22334817182866
20080512,43.51438856534407
20080513,46.88136837915847
20080514,49.67086970788296
20080515,51.19257334587661
20080516,46.94615097615615
20080517,46.94615097615615
20080518,46.94615097615615
20080519,47.75165187681504
20080520,51.281698434145135
20080521,54.75251074244987
20080522,56.171563972227084
20080523,59.982501174771755
20080524,59.982501174771755
20080525,59.982501174771755
20080526,58.28686393940417
20080527,57.181674609133886
20080528,57.03813883659965
20080529,57.44799963525065
20080530,57.47866661692179
20080531,57.47866661692179
20080601,57.47866661692179
20080602,62.786609461246975
20080603,66.01385959905552
20080604,66.37529649906102
20080605,65.1084835694925
20080606,64.92498769678261
20080607,64.92498769678261
20080608,64.92498769678261
20080609,64.92498769678261
20080610,71.47378231225386
20080611,69.20482232037027
20080612,76.62415703548604
20080613,76.35728069440918
20080614,76.35728069440918
20080615,76.35728069440918
20080616,78.93562199694283
20080617,74.54239843013266
20080618,76.25744489334852
20080619,84.44674258458325
20080620,83.20760176930814
20080621,83.20760176930814
20080622,83.20760176930814
20080623,84.52500158876856
20080624,90.66915950225622
20080625,83.81704248987897
20080626,79.6103541372465
20080627,79.02177943613962
20080628,79.02177943613962
20080629,79.02177943613962
20080630,85.18226421655642
20080701,97.04365558440098
20080702,91.14117799228588
20080703,81.4980799966822
20080704,72.8781435655012
20080705,72.8781435655012
20080706,72.8781435655012
20080707,75.87818764190399
20080708,83.38851645916665
20080709,81.03070052200904
20080710,85.20430492175014
20080711,89.37296297894318
20080712,89.37296297894318
20080713,89.37296297894318
20080714,91.27659288919615
20080715,97.43554135452536
20080716,87.07085455651733
20080717,83.56576269529683
20080718,86.21998524948256
20080719,86.21998524948256
20080720,86.21998524948256
20080721,79.5149719689502
20080722,86.65136237344329
20080723,78.71717905118877
20080724,73.42770570411334
20080725,90.0386647777974
20080726,90.0386647777974
20080727,90.0386647777974
20080728,112.21992981220512
20080729,116.89495307940679
20080730,108.61281635560645
20080731,115.08119320766446
20080801,116.10099479686548
20080802,116.10099479686548
20080803,116.10099479686548
20080804,111.8721009606152
20080805,107.07487432527367
20080806,93.84024267331446
20080807,94.87052928762627
20080808,105.21509674524307
20080809,105.21509674524307
20080810,105.21509674524307
20080811,98.85645859838559
20080812,104.0205360977199
20080813,111.36923412722949
20080814,113.19358046728446
20080815,111.25743509317574
20080816,111.25743509317574
20080817,111.25743509317574
20080818,108.94289291080499
20080819,119.06006839924441
20080820,122.91194906086014
20080821,131.4276537824552
20080822,129.532190799383
20080823,129.532190799383
20080824,129.532190799383
20080825,125.59296991311393
20080826,126.48870880428333
20080827,125.97814789624191
20080828,122.91687563206489
20080829,116.87325218293729
20080830,116.87325218293729
20080831,116.87325218293729
20080901,117.26593138670468
20080902,114.83788916797083
20080903,117.87868006092461
20080904,116.7010331228793
20080905,130.34146593214365
20080906,130.34146593214365
20080907,130.34146593214365
20080908,107.90526354858197
20080909,110.71163107629623
20080910,109.4455950949668
20080911,121.69383527084007
20080912,113.2926186180684
20080913,113.2926186180684
20080914,113.2926186180684
20080915,111.79426180782846
20080916,121.57526213816924
20080917,127.25285909679495
20080918,130.64573094478007
20080919,98.30549504881516
20080920,98.30549504881516
20080921,98.30549504881516
20080922,80.22601163932549
20080923,89.49923277158928
20080924,84.58015304556456
20080925,85.85222557545644
20080926,81.65812430151507
20080927,81.65812430151507
20080928,81.65812430151507
20080929,86.07718099027672
20080930,94.42549605922022
20081001,90.07772010429083
20081002,94.75458850099889
20081003,96.05519712680021
20081004,96.05519712680021
20081005,96.05519712680021
20081006,108.01389641420263
20081007,110.01046502475641
20081008,133.8396777743849
20081009,133.590681294664
20081010,167.08435668684467
20081011,167.08435668684467
20081012,167.08435668684467
20081013,135.0556463113313
20081014,110.95138897812386
20081015,115.44980306126385
20081016,133.2997643469345
20081017,141.37549823112926
20081018,141.37549823112926
20081019,141.37549823112926
20081020,121.9184330264861
20081021,108.5185908313117
20081022,111.7713211674695
20081023,128.22418212836266
20081024,143.8156108761071
20081025,143.8156108761071
20081026,143.8156108761071
20081027,156.3723896609618
20081028,155.60945222262544
20081029,145.30344474097492
20081030,131.9651857537392
20081031,265.78865935954116
20081101,265.78865935954116
20081102,265.78865935954116
20081103,236.33538981058493
20081104,235.94715020789656
20081105,226.4826103238918
20081106,273.13844756357923
20081107,293.5280793262252
20081108,293.5280793262252
20081109,293.5280793262252
20081110,292.48124701352623
20081111,309.1877258180956
20081112,320.35797744626495
20081113,376.0342821912489
20081114,379.1177975671355
20081115,379.1177975671355
20081116,379.1177975671355
20081117,397.7195510934278
20081118,407.3276869866718
20081119,381.9871443676702
20081120,423.34367196879776
20081121,413.43268431086307
20081122,413.43268431086307
20081123,413.43268431086307
20081124,432.88990044562547
20081125,358.3562652229312
20081126,369.2814462519583
20081127,359.8906039608841
20081128,349.173806634644
20081129,349.173806634644
20081130,349.173806634644
20081201,371.44877597235967
20081202,381.7452277419745
20081203,371.12629365328405
20081204,363.52800506551534
20081205,356.0461804700352
20081206,356.0461804700352
20081207,356.0461804700352
20081208,334.10006623930343
20081209,369.0727910066893
20081210,365.42410924346905
20081211,352.40403692910127
20081212,351.5530122921371
20081213,351.5530122921371
20081214,351.5530122921371
20081215,335.0752439859604
20081216,353.171141534788
20081217,367.20995015054154
20081218,342.20268026509143
20081219,341.1338476945602
20081220,341.1338476945602
20081221,341.1338476945602
20081222,312.4764200468158
20081223,314.94005360423364
20081224,315.2226563841327
20081225,315.2226563841327
20081226,315.2226563841327
20081227,315.2226563841327
20081228,315.2226563841327
20081229,298.8861665336701
20081230,295.7840903737086
20081231,298.6788953845199
20090101,298.6788953845199
20090102,303.4141462458552
20090103,303.4141462458552
20090104,303.4141462458552
20090105,298.0451599375865
20090106,289.14958066086774
20090107,288.1568042255249
20090108,298.22583155276345
20090109,298.96556860325205
20090110,298.96556860325205
20090111,298.96556860325205
20090112,307.12186340359585
20090113,323.3543809221033
20090114,307.58684315369527
20090115,335.204341325419
20090116,340.73152396275725
20090117,340.73152396275725
20090118,340.73152396275725
20090119,336.83953409053856
20090120,370.8034231554141
20090121,402.8153460222125
20090122,406.2623624260535
20090123,455.7528557471835
20090124,455.7528557471835
20090125,455.7528557471835
20090126,455.7528557471835
20090127,427.9932637037008
20090128,390.77618402052
20090129,393.4357569988823
20090130,406.05512420272004
20090131,406.05512420272004
20090201,406.05512420272004
20090202,418.61750158583
20090203,399.1536404706609
20090204,414.8575613640626
20090205,450.30873883778116
20090206,444.7418411374023
20090207,444.7418411374023
20090208,444.7418411374023
20090209,432.3857130517759
20090210,435.70661431880535
20090211,466.77027123404747
20090212,481.09698692341107
20090213,423.17512394239213
20090214,423.17512394239213
20090215,423.17512394239213
20090216,426.1563315400531
20090217,461.9433970104652
20090218,462.009571286243
20090219,444.75129420795145
20090220,459.3854690962174
20090221,459.3854690962174
20090222,459.3854690962174
20090223,447.34865470005957
20090224,437.4464098700503
20090225,443.8392851759188
20090226,410.8464357727778
20090227,403.74201812610255
20090228,403.74201812610255
20090301,403.74201812610255
