Date,AQ Estate PCL
20060511,90.46119366507067
20060512,90.46119366507067
20060513,90.46119366507067
20060514,90.46119366507067
20060515,97.994031073558
20060516,43.979873110333806
20060517,42.65519928382571
20060518,46.75705228145303
20060519,47.787062756678296
20060520,47.787062756678296
20060521,47.787062756678296
20060522,54.578725560715135
20060523,55.618497768162165
20060524,59.142157772249064
20060525,62.13027584609449
20060526,56.848984326338076
20060527,56.848984326338076
20060528,56.848984326338076
20060529,57.052801149043
20060530,63.67546273018774
20060531,70.03703960562292
20060601,69.34088217214587
20060602,66.09395326285589
20060603,66.09395326285589
20060604,66.09395326285589
20060605,71.36646178003666
20060606,73.6643309328987
20060607,79.044879864887
20060608,81.34604167499683
20060609,79.61307186882892
20060610,79.61307186882892
20060611,79.61307186882892
20060612,79.61307186882892
20060613,79.61307186882892
20060614,85.42827674400392
20060615,89.99164435581838
20060616,82.19100117427571
20060617,82.19100117427571
20060618,82.19100117427571
20060619,83.61483889449839
20060620,81.89900265312421
20060621,78.33065564847654
20060622,76.32616698457548
20060623,78.76974878083928
20060624,78.76974878083928
20060625,78.76974878083928
20060626,80.25175935332281
20060627,82.07119962083165
20060628,80.66585959344144
20060629,78.68783362667982
20060630,78.32156317228943
20060701,78.32156317228943
20060702,78.32156317228943
20060703,73.38053851636666
20060704,71.88330187638266
20060705,77.61571856067087
20060706,75.37799270702503
20060707,74.88785361889121
20060708,74.88785361889121
20060709,74.88785361889121
20060710,76.46837707010286
20060711,76.46837707010286
20060712,72.95004580663776
20060713,77.55297892920568
20060714,81.80321967547052
20060715,81.80321967547052
20060716,81.80321967547052
20060717,89.72737365462862
20060718,87.46113758746802
20060719,84.86848550446207
20060720,81.15994760585363
20060721,74.3762493427874
20060722,74.3762493427874
20060723,74.3762493427874
20060724,72.24828770701858
20060725,74.0559503055212
20060726,60.98113762653059
20060727,63.70827731613799
20060728,65.5173800988679
20060729,65.5173800988679
20060730,65.5173800988679
20060731,71.73013208967636
20060801,75.5824171766004
20060802,74.34646688539924
20060803,72.79770924375111
20060804,72.62835715012616
20060805,72.62835715012616
20060806,72.62835715012616
20060807,71.91695624496141
20060808,70.4525573531847
20060809,66.9153982332785
20060810,63.23411195901173
20060811,68.45247611805891
20060812,68.45247611805891
20060813,68.45247611805891
20060814,68.45247611805891
20060815,70.21002628944228
20060816,68.52652860404709
20060817,66.72121588460604
20060818,61.94894009893502
20060819,61.94894009893502
20060820,61.94894009893502
20060821,61.237437414959935
20060822,63.09398810550868
20060823,65.53696103235878
20060824,67.16105578632663
20060825,63.94378929691496
20060826,63.94378929691496
20060827,63.94378929691496
20060828,67.14142046390558
20060829,63.05817624310627
20060830,60.159305995681684
20060831,57.96256914183631
20060901,55.76030798701521
20060902,55.76030798701521
20060903,55.76030798701521
20060904,52.584489350531456
20060905,54.15229221911393
20060906,52.339919769581016
20060907,53.3260374861051
20060908,52.67238057363102
20060909,52.67238057363102
20060910,52.67238057363102
20060911,53.77836635444686
20060912,51.75188708436286
20060913,51.904038617567835
20060914,56.064763412651835
20060915,53.82886404431786
20060916,53.82886404431786
20060917,53.82886404431786
20060918,53.72369525187354
20060919,56.72613691500661
20060920,56.72613691500661
20060921,63.33135420215902
20060922,77.88701056371089
20060923,77.88701056371089
20060924,77.88701056371089
20060925,74.12931065525993
20060926,71.81481491922919
20060927,71.28156110730356
20060928,74.64087322013673
20060929,91.32437243925807
20060930,91.32437243925807
20061001,91.32437243925807
20061002,90.3419684808097
20061003,88.85961218532591
20061004,85.06192262040001
20061005,80.99682645885171
20061006,80.54090677196784
20061007,80.54090677196784
20061008,80.54090677196784
20061009,83.41409287639517
20061010,82.41389006984915
20061011,88.69665717500025
20061012,87.23453423871706
20061013,83.97987821633316
20061014,83.97987821633316
20061015,83.97987821633316
20061016,81.257443251613
20061017,82.27135257311858
20061018,82.16614575850485
20061019,82.7898881511333
20061020,80.95435514692058
20061021,80.95435514692058
20061022,80.95435514692058
20061023,80.95435514692058
20061024,72.08288766256649
20061025,71.62411098644397
20061026,73.2023395996401
20061027,73.8001680424453
20061028,73.8001680424453
20061029,73.8001680424453
20061030,77.18182514632002
20061031,75.2249866804306
20061101,73.84006891159952
20061102,74.10873927151805
20061103,72.52561987592848
20061104,72.52561987592848
20061105,72.52561987592848
20061106,75.00075535942575
20061107,75.81243317433088
20061108,76.2396888035804
20061109,77.62707675406965
20061110,80.2865095070189
20061111,80.2865095070189
20061112,80.2865095070189
20061113,71.33314867689593
20061114,74.32218926694264
20061115,67.79235172794317
20061116,37.09902854859919
20061117,36.29976211605717
20061118,36.29976211605717
20061119,36.29976211605717
20061120,38.81206657857134
20061121,38.38453115097252
20061122,39.56838282670587
20061123,38.90010963328502
20061124,39.20437977453598
20061125,39.20437977453598
20061126,39.20437977453598
20061127,37.843090834390104
20061128,38.35151143918681
20061129,38.21969630772451
20061130,37.16098545646067
20061201,37.238535637191774
20061202,37.238535637191774
20061203,37.238535637191774
20061204,37.89419069593604
20061205,37.89419069593604
20061206,34.95702585522847
20061207,34.27947542317506
20061208,35.99130474417747
20061209,35.99130474417747
20061210,35.99130474417747
20061211,35.99130474417747
20061212,37.15390885103211
20061213,37.09104031538568
20061214,39.21254510372429
20061215,38.32241755397168
20061216,38.32241755397168
20061217,38.32241755397168
20061218,39.51168574439242
20061219,67.93108045545993
20061220,47.15288859003658
20061221,52.00138357425741
20061222,52.287145135256665
20061223,52.287145135256665
20061224,52.287145135256665
20061225,52.147157727505686
20061226,51.30169927032909
20061227,51.44125269428149
20061228,53.80716467902814
20061229,61.163959724769825
20061230,61.163959724769825
20061231,61.163959724769825
20070101,61.163959724769825
20070102,61.163959724769825
20070103,72.05936218191476
20070104,75.90933134744455
20070105,77.95801611298737
20070106,77.95801611298737
20070107,77.95801611298737
20070108,73.59097474960079
20070109,82.18001717591987
20070110,80.21598660827819
20070111,75.32593072008723
20070112,73.1551483177616
20070113,73.1551483177616
20070114,73.1551483177616
20070115,83.05930477700308
20070116,81.42071311327548
20070117,82.3171847408642
20070118,81.49463403909989
20070119,76.97920612025915
20070120,76.97920612025915
20070121,76.97920612025915
20070122,80.14177287131612
20070123,82.14810148340928
20070124,82.1707472224307
20070125,79.34875778341895
20070126,81.68161126620785
20070127,81.68161126620785
20070128,81.68161126620785
20070129,82.89615069926799
20070130,81.99694439723382
20070131,94.98898828165704
20070201,91.02945735338525
20070202,84.07418497288046
20070203,84.07418497288046
20070204,84.07418497288046
20070205,85.71009359123899
20070206,85.85064280154579
20070207,87.36724157040145
20070208,82.75313770398843
20070209,77.6685119239965
20070210,77.6685119239965
20070211,77.6685119239965
20070212,82.80322686806959
20070213,83.76194938631659
