Date,Aplus Financial Co Ltd
20130806,80.42526658490513
20130807,85.30856939653057
20130808,84.91361062844686
20130809,86.25356832481923
20130810,86.25356832481923
20130811,86.25356832481923
20130812,91.88532938183383
20130813,88.85815930028787
20130814,86.55473578188646
20130815,87.3533221440496
20130816,87.43745162103473
20130817,87.43745162103473
20130818,87.43745162103473
20130819,89.04667403403205
20130820,90.8300381917735
20130821,93.79554701246725
20130822,95.92735342484546
20130823,97.42831691217832
20130824,97.42831691217832
20130825,97.42831691217832
20130826,96.10682945966084
20130827,98.622748020278
20130828,104.30868085217898
20130829,112.43983937526033
20130830,111.36167861388695
20130831,111.36167861388695
20130901,111.36167861388695
20130902,91.24725823874323
20130903,92.39666527009076
20130904,86.64406855921432
20130905,89.37659381244994
20130906,95.40844810881637
20130907,95.40844810881637
20130908,95.40844810881637
20130909,92.5632945442702
20130910,91.18361927146535
20130911,88.84014650496943
20130912,89.4073735138386
20130913,88.71396602623454
20130914,88.71396602623454
20130915,88.71396602623454
20130916,88.71396602623454
20130917,90.91497329397414
20130918,82.92914976541537
20130919,78.7084414162689
20130920,78.06989085300484
20130921,78.06989085300484
20130922,78.06989085300484
20130923,78.06989085300484
20130924,76.78213014104085
20130925,81.44904309351436
20130926,76.85701646754917
20130927,75.7246063219414
20130928,75.7246063219414
20130929,75.7246063219414
20130930,80.24759725805386
20131001,79.97985474098404
20131002,87.02116781428067
20131003,91.87623634906184
20131004,94.02043563930252
20131005,94.02043563930252
20131006,94.02043563930252
20131007,101.58550928311364
20131008,97.0086988139175
20131009,93.08147034394554
20131010,91.56684333324067
20131011,89.74823518721969
20131012,89.74823518721969
20131013,89.74823518721969
20131014,89.74823518721969
20131015,91.93447141348742
20131016,93.34032005572035
20131017,93.85542660667535
20131018,93.77095956929213
20131019,93.77095956929213
20131020,93.77095956929213
20131021,90.43528869444852
20131022,90.82665442328332
20131023,93.37963353429961
20131024,92.52366151115348
20131025,95.57847180223885
20131026,95.57847180223885
20131027,95.57847180223885
20131028,93.95132081093301
20131029,91.0387159866782
20131030,96.63224432286378
20131031,91.06485513443509
20131101,101.88904052745487
20131102,101.88904052745487
20131103,101.88904052745487
20131104,101.88904052745487
20131105,104.21503837895467
20131106,103.15633189585212
20131107,104.03239548763679
20131108,104.98621287700927
20131109,104.98621287700927
20131110,104.98621287700927
20131111,110.0544094493989
20131112,105.75905777613741
20131113,107.01260473448708
20131114,106.63285365465433
20131115,100.80986940293721
20131116,100.80986940293721
20131117,100.80986940293721
20131118,95.1996324842822
20131119,98.5049373437029
20131120,103.30321714104173
20131121,101.20602816648842
20131122,101.81140301230487
20131123,101.81140301230487
20131124,101.81140301230487
20131125,102.15071824543867
20131126,103.77974193766924
20131127,107.45601263052122
20131128,104.95253863509521
20131129,105.77492516404719
20131130,105.77492516404719
20131201,105.77492516404719
20131202,103.96076732871474
20131203,106.31968692203608
20131204,109.45027279550933
20131205,109.59939015089071
20131206,112.12504904302938
20131207,112.12504904302938
20131208,112.12504904302938
20131209,109.88221931885681
20131210,112.60582615656818
20131211,113.44444204837275
20131212,116.76930196120054
20131213,119.5847374178552
20131214,119.5847374178552
20131215,119.5847374178552
