Date,Agat Ejendomme A/S
20081204,76.53759409380211
20081205,85.70831526043548
20081206,85.70831526043548
20081207,85.70831526043548
20081208,75.65657791536279
20081209,73.38365965677728
20081210,73.32347602385035
20081211,71.20182050931354
20081212,74.88365758808592
20081213,74.88365758808592
20081214,74.88365758808592
20081215,77.18713357967903
20081216,74.59728180492036
20081217,73.40921399306262
20081218,75.74236851721369
20081219,133.34293109977412
20081220,133.34293109977412
20081221,133.34293109977412
20081222,113.94560420156081
20081223,110.46298576867541
20081224,110.46298576867541
20081225,110.46298576867541
20081226,110.46298576867541
20081227,110.46298576867541
20081228,110.46298576867541
20081229,109.51676142481473
20081230,110.81268259490692
20081231,110.81268259490692
20090101,110.81268259490692
20090102,101.34612603578486
20090103,101.34612603578486
20090104,101.34612603578486
20090105,76.81835474331466
20090106,69.14322614425419
20090107,67.59015746390898
20090108,73.71460728407922
20090109,71.98952082374124
20090110,71.98952082374124
20090111,71.98952082374124
20090112,61.94267044858315
20090113,55.85086948499338
20090114,55.498749020558066
20090115,57.02392496449158
20090116,58.394028847153265
20090117,58.394028847153265
20090118,58.394028847153265
20090119,58.30704794363287
20090120,62.83048739821907
20090121,65.89337328273068
20090122,66.89709028757676
20090123,80.06277807812323
20090124,80.06277807812323
20090125,80.06277807812323
20090126,79.0828532575466
20090127,83.46000452198304
20090128,80.14995125639676
20090129,86.48394154517719
20090130,90.47668097290878
20090131,90.47668097290878
20090201,90.47668097290878
20090202,97.79408309186553
20090203,89.51394048667781
20090204,87.79609732942099
20090205,86.38850818139066
20090206,84.09379852137455
20090207,84.09379852137455
20090208,84.09379852137455
20090209,80.98386472039145
20090210,83.6695753646867
20090211,85.51492352919855
20090212,87.3424032457682
20090213,84.31898409046505
20090214,84.31898409046505
20090215,84.31898409046505
20090216,86.47177252826967
20090217,88.74585799098494
20090218,78.61063176803437
20090219,83.39263336597809
20090220,82.50938454749205
20090221,82.50938454749205
20090222,82.50938454749205
20090223,92.99837057071001
20090224,96.76525499652357
20090225,105.6070060896498
20090226,101.44048372427044
20090227,114.17802111701607
20090228,114.17802111701607
20090301,114.17802111701607
20090302,107.85552698263083
20090303,111.23223961243767
20090304,113.73869496352853
20090305,110.96620575335827
20090306,121.90090462776831
20090307,121.90090462776831
20090308,121.90090462776831
20090309,118.45155387580948
20090310,95.36419317054806
20090311,102.35573865198732
20090312,110.29640120783937
20090313,114.79821148071788
20090314,114.79821148071788
20090315,114.79821148071788
20090316,111.26379673147248
20090317,103.15265691785373
20090318,105.70999200955131
20090319,106.39102610175634
20090320,111.25182333277523
20090321,111.25182333277523
20090322,111.25182333277523
20090323,105.39874602912988
