Date,Gazit-Globe Ltd
20050511,6.338203224744722
20050512,6.338203224744722
20050513,6.338203224744722
20050514,6.338203224744722
20050516,6.503165974656928
20050517,6.421017930126509
20050518,6.741898996155496
20050519,6.594660304819477
20050520,6.594660304819477
20050521,6.594660304819477
20050523,6.8150879227609
20050524,6.540883696358852
20050525,6.370246244114979
20050526,6.178458684549661
20050527,6.178458684549661
20050528,6.178458684549661
20050530,6.993074145337608
20050531,6.157271169735566
20050601,5.862019163442691
20050602,6.005897981500863
20050603,6.005897981500863
20050604,6.005897981500863
20050606,6.0494417725998195
20050607,6.044356922579484
20050608,6.093097855985954
20050609,6.317733304023417
20050610,6.317733304023417
20050611,6.317733304023417
20050612,6.317733304023417
20050613,6.317733304023417
20050614,6.523542182191007
20050615,7.24592994701388
20050616,7.2475482705682275
20050617,7.2475482705682275
20050618,7.2475482705682275
20050620,8.033302797362243
20050621,7.463800584592978
20050622,7.3972770012593925
20050623,7.328537472749724
20050624,7.328537472749724
20050625,7.328537472749724
20050627,7.46712106067089
20050628,7.4285201713216455
20050629,6.9217481272197645
20050630,7.327604269939616
20050701,7.327604269939616
20050702,7.327604269939616
20050704,6.630365479220021
20050705,6.449417591096224
20050706,6.271578948802922
20050707,5.977471927901556
20050708,5.977471927901556
20050709,5.977471927901556
20050711,5.806217324329593
20050712,5.905499390402183
20050713,5.894377030423421
20050714,5.599982237242518
20050715,5.599982237242518
20050716,5.599982237242518
20050718,5.69183832238134
20050719,5.597091930278091
20050720,5.544015038908748
20050721,5.5726473491896655
20050722,5.5726473491896655
20050723,5.5726473491896655
20050725,5.326212070475369
20050726,5.460161225874075
20050727,5.52840223527685
20050728,5.5000588772047365
20050729,5.5000588772047365
20050730,5.5000588772047365
20050801,5.490864758199248
20050802,5.12782459960735
20050803,5.064077857724993
20050804,4.4237004330967675
20050805,4.4237004330967675
20050806,4.4237004330967675
20050808,4.446590177514386
20050809,4.813493629522639
20050810,4.663429068095827
20050811,4.947903172855244
20050812,4.947903172855244
20050813,4.947903172855244
20050814,4.947903172855244
20050815,4.510710840535998
20050816,4.539334877678911
20050817,4.107851947853392
20050818,3.7877269687161066
20050819,3.7877269687161066
20050820,3.7877269687161066
20050822,4.657361174837817
20050823,4.717381034525963
20050824,4.7782502067017685
20050825,4.9270552658303615
20050826,4.9270552658303615
20050827,4.9270552658303615
20050829,5.081762526488007
20050830,4.8499923418554935
20050831,4.96364780355856
20050901,4.895456291986474
20050902,4.895456291986474
20050903,4.895456291986474
20050905,5.0188807563709945
20050906,5.246109335169688
20050907,5.391641729101611
20050908,5.3764548822632365
20050909,5.3764548822632365
20050910,5.3764548822632365
20050912,5.101044637403198
20050913,5.091687937893237
20050914,4.736946252638107
20050915,4.564587954702817
20050916,4.564587954702817
20050917,4.564587954702817
20050919,4.2680172112280665
20050920,4.346376878557151
20050921,4.629479702552701
20050922,4.9281211738469155
20050923,4.9281211738469155
20050924,4.9281211738469155
20050926,4.345555580189148
20050927,4.092998624343533
20050928,3.9420132320734718
20050929,4.085886406375888
20050930,4.085886406375888
20051001,4.085886406375888
