Date,Kuwait Financial Centre SAK
20101013,4.454023951392993
20101014,4.6451306658688996
20101015,4.6451306658688996
20101016,4.6451306658688996
20101018,4.5145235028774495
20101019,4.545436408426062
20101020,4.680520428306795
20101021,4.692827214535341
20101022,4.692827214535341
20101023,4.692827214535341
20101025,4.337343565077706
20101026,3.58191378300978
20101027,3.3144501870246432
20101028,3.3709047931492404
20101029,3.3709047931492404
20101030,3.3709047931492404
20101101,3.103324449757235
20101102,3.149714869877284
20101103,3.075891465324325
20101104,2.8841621046014327
20101105,2.8841621046014327
20101106,2.8841621046014327
20101108,2.9338715697044377
20101109,2.7804002227845723
20101110,2.7204175564981714
20101111,2.79037228025242
20101112,2.79037228025242
20101113,2.79037228025242
20101114,2.79037228025242
20101115,2.79037228025242
20101116,2.79037228025242
20101117,2.79037228025242
20101118,2.79037228025242
20101119,2.79037228025242
20101120,2.79037228025242
20101122,2.680330849703554
20101123,2.9235227482314374
20101124,2.886402143081225
20101125,2.951528258712166
20101126,2.951528258712166
20101127,2.951528258712166
20101129,2.8116883123957788
20101130,2.655896242379808
20101201,2.6391065759238117
20101202,2.7849215660729123
20101203,2.7849215660729123
20101204,2.7849215660729123
20101206,2.629225678534106
20101207,2.629225678534106
20101208,2.6694144281565055
20101209,2.690257789394551
20101210,2.690257789394551
20101211,2.690257789394551
20101213,2.7801772936565756
20101214,2.8710483519680836
20101215,2.8208095564515245
20101216,2.657579830780418
20101217,2.657579830780418
20101218,2.657579830780418
20101220,2.9080630533651384
20101221,2.809774532348717
20101222,2.7390530380022833
20101223,2.64515515107834
20101224,2.64515515107834
20101225,2.64515515107834
20101227,2.5733961681464335
20101228,2.7652349435473456
20101229,2.77577426743741
20101230,2.5015313264906593
20101231,2.5015313264906593
20110101,2.5015313264906593
20110102,2.5015313264906593
20110103,2.592132727006113
20110104,2.479983178019091
20110105,2.252966562084595
20110106,2.35685825950058
20110107,2.35685825950058
20110108,2.35685825950058
20110110,2.342246893386002
20110111,2.322645174968374
20110112,2.301700896300146
20110113,2.2974649142954875
20110114,2.2974649142954875
20110115,2.2974649142954875
20110117,2.1586947198963715
20110118,1.9346438704362716
20110119,1.9850853988841533
20110120,2.0357811761794773
20110121,2.0357811761794773
20110122,2.0357811761794773
20110124,1.8988268629182914
20110125,1.8605803985084468
20110126,1.8379346593353176
20110127,1.8632903532619398
20110128,1.8632903532619398
20110129,1.8632903532619398
20110131,1.9496220148257568
20110201,1.9493142489518698
20110202,1.9861679245738224
20110203,1.9889913375909394
20110204,1.9889913375909394
20110205,1.9889913375909394
20110207,2.017607117482984
20110208,1.9963723233315485
20110209,2.0755007545862845
20110210,2.0746895862244057
20110211,2.0746895862244057
20110212,2.0746895862244057
20110214,2.124263736519521
20110215,2.332149696550846
20110216,2.32651487607967
20110217,2.32651487607967
20110218,2.32651487607967
20110219,2.32651487607967
20110221,2.934871953875825
20110222,3.072804062629743
20110223,2.8501117228018633
20110224,2.8143335929388353
20110225,2.8143335929388353
20110226,2.8143335929388353
20110227,2.8143335929388353
20110228,2.8143335929388353
20110301,3.0482121347562714
20110302,3.502003436953177
20110303,3.442035101088118
20110304,3.442035101088118
20110305,3.442035101088118
20110307,3.5124597238490503
20110308,3.4545934317794544
20110309,3.2741278566981835
20110310,3.1358173420781386
20110311,3.1358173420781386
20110312,3.1358173420781386
20110314,2.9678439884836387
20110315,3.2261046463670313
20110316,3.2775541044980208
20110317,3.307755603287531
20110318,3.307755603287531
20110319,3.307755603287531
20110321,3.476321574579934
20110322,3.645879689816191
20110323,3.764079729549635
20110324,3.889474675076845
20110325,3.889474675076845
