Date,Land & General Bhd
20090404,46.86358119146384
20090405,46.86358119146384
20090406,43.739580599067104
20090407,43.08073959123238
20090408,46.58164002225494
20090409,46.27424207008929
20090410,40.711755043824745
20090411,40.711755043824745
20090412,40.711755043824745
20090413,36.03287363699641
20090414,32.17930815710819
20090415,27.96167458607216
20090416,29.766941359425253
20090417,30.61334600136604
20090418,30.61334600136604
20090419,30.61334600136604
20090420,31.939698314082843
20090421,29.87732149817288
20090422,30.939981263029296
20090423,26.2215797452489
20090424,24.427516767607326
20090425,24.427516767607326
20090426,24.427516767607326
20090427,23.868647776466222
20090428,25.990148269036396
20090429,24.076593870709274
20090430,23.710382933568237
20090501,23.710382933568237
20090502,23.710382933568237
20090503,23.710382933568237
20090504,21.222901891718983
20090505,21.532366651893007
20090506,17.076757268460923
20090507,16.660186283974088
20090508,15.132244622325327
20090509,15.132244622325327
20090510,15.132244622325327
20090511,14.58706734074169
20090512,13.962550985181473
20090513,12.507314732160575
20090514,12.558449049411417
20090515,15.125839955946855
20090516,15.125839955946855
20090517,15.125839955946855
20090518,16.924560036020704
20090519,14.908888337740779
20090520,14.92908546255189
20090521,15.891451844255373
20090522,14.75957350575117
20090523,14.75957350575117
20090524,14.75957350575117
20090525,13.717743455716114
20090526,14.871596299324393
20090527,15.112880155834945
20090528,14.217535324786962
20090529,15.56724428965298
20090530,15.56724428965298
20090531,15.56724428965298
20090601,14.631864958426775
20090602,14.023965774573048
20090603,18.343418795328965
20090604,17.634207871532382
20090605,15.980477898374762
20090606,15.980477898374762
20090607,15.980477898374762
20090608,15.76179352717536
20090609,16.060560249048265
20090610,14.865740172390884
20090611,14.26413631280665
20090612,11.111012962818823
20090613,11.111012962818823
20090614,11.111012962818823
20090615,13.019926116926197
20090616,13.004648735459858
20090617,13.451994877330554
20090618,16.476888151854006
20090619,17.193993707130133
20090620,17.193993707130133
20090621,17.193993707130133
20090622,18.523403773671273
20090623,18.410447948683586
20090624,16.057934176657266
20090625,15.4600073749664
20090626,15.15925545155939
20090627,15.15925545155939
20090628,15.15925545155939
20090629,13.20527945364326
20090630,16.5602039581837
20090701,17.11560303042196
20090702,17.53675413143862
20090703,16.952601717731866
20090704,16.952601717731866
20090705,16.952601717731866
20090706,20.535229917939198
20090707,19.738551445223504
20090708,21.325090367960623
20090709,19.61281157252728
20090710,20.41964665095706
20090711,20.41964665095706
20090712,20.41964665095706
20090713,19.600403673001686
20090714,14.355562658195103
20090715,13.648748928038533
20090716,14.31857039938253
20090717,14.294716333513655
20090718,14.294716333513655
20090719,14.294716333513655
20090720,13.182081512945095
20090721,13.059744084502592
20090722,14.133392148088642
20090723,13.014217686474337
20090724,12.864249825759119
20090725,12.864249825759119
20090726,12.864249825759119
20090727,12.502165193749304
20090728,12.347218087840911
20090729,13.126813644253568
20090730,12.100554140087777
20090731,13.171001761120742
20090801,13.171001761120742
20090802,13.171001761120742
20090803,13.211924475214888
20090804,13.766954640536134
20090805,13.736997860601665
20090806,12.447331135585191
20090807,12.912168820524526
20090808,12.912168820524526
20090809,12.912168820524526
20090810,10.716661519871286
20090811,10.980962973251959
20090812,11.809698953896532
20090813,10.535491992158793
20090814,11.209471235181452
20090815,11.209471235181452
20090816,11.209471235181452
20090817,12.414928204121313
20090818,11.864275379282624
20090819,12.539512001137002
20090820,12.633468381438252
20090821,12.835305514704196
20090822,12.835305514704196
20090823,12.835305514704196
20090824,12.89372208704561
20090825,13.09685661293446
20090826,8.397344763737497
20090827,7.927662196928501
20090828,8.637427880421692
20090829,8.637427880421692
20090830,8.637427880421692
20090831,8.637427880421692
20090901,8.970774664794225
20090902,9.577314949623496
20090903,9.191540550711377
20090904,9.150548375078406
20090905,9.150548375078406
20090906,9.150548375078406
20090907,8.527225205484596
20090908,8.263244421409302
20090909,8.903063218131743
20090910,8.647163759367684
20090911,8.617531930804796
20090912,8.617531930804796
20090913,8.617531930804796
20090914,8.568247371713444
20090915,8.443770153450867
20090916,7.763728016869269
20090917,7.169610962387926
20090918,5.310011382856621
20090919,5.310011382856621
20090920,5.310011382856621
20090921,5.310011382856621
20090922,5.310011382856621
20090923,5.01164019970996
20090924,5.4073316154515
20090925,5.3387844508861075
20090926,5.3387844508861075
20090927,5.3387844508861075
20090928,5.413006716750684
20090929,4.735475624316549
20090930,5.720120959055329
20091001,6.01144029258587
20091002,6.107042649097005
20091003,6.107042649097005
20091004,6.107042649097005
20091005,6.297420777611681
20091006,6.536700470532289
20091007,5.691900019447538
20091008,5.684129032055757
20091009,5.846257756275725
20091010,5.846257756275725
20091011,5.846257756275725
20091012,6.129164772627026
20091013,5.404168729378375
20091014,4.892062856269889
20091015,5.099086790671027
20091016,4.991281697726856
20091017,4.991281697726856
20091018,4.991281697726856
20091019,5.0603948068695175
20091020,4.952786101863597
20091021,5.251608305831312
20091022,4.916945869031611
20091023,4.952300980388604
20091024,4.952300980388604
20091025,4.952300980388604
20091026,5.293583194024264
20091027,5.501816224167276
20091028,5.5803221785939074
