Date,Goldman Sachs Group Inc/The
20041217,161.35059265996557
20041218,161.35059265996557
20041219,161.35059265996557
20041220,160.7046400663281
20041221,157.77202790754907
20041222,159.7168343934485
20041223,159.65469837808635
20041224,159.65469837808635
20041225,159.65469837808635
20041226,159.65469837808635
20041227,160.39159365878905
20041228,158.012129596515
20041229,158.43038664609128
20041230,157.75180840852767
20041231,162.9339386928468
20050101,165.62487405121072
20050102,165.62487405121072
20050103,162.330624056375
20050104,163.49182930731118
20050105,163.37106077081145
20050106,158.65311618053224
20050107,159.63605956169422
20050108,159.63605956169422
20050109,159.63605956169422
20050110,160.3149881703008
20050111,162.2057791256066
20050112,165.13856072053608
20050113,165.84359732880677
20050114,161.59603283548378
20050115,161.59603283548378
20050116,161.59603283548378
20050117,161.59603283548378
20050118,159.48038439485825
20050119,161.23792987008125
20050120,162.32896693572013
20050121,160.83181673217115
20050122,160.83181673217115
20050123,160.83181673217115
20050124,161.5613194404392
20050125,163.43192309454372
20050126,161.68940847193477
20050127,160.29136521760404
20050128,154.03385018740306
20050129,154.03385018740306
20050130,154.03385018740306
20050131,149.76891044067133
20050201,151.14419179792847
20050202,150.6844661759
20050203,150.17336668624014
20050204,147.95143405793164
20050205,147.95143405793164
20050206,147.95143405793164
20050207,148.30395985653698
20050208,138.71668534870344
20050209,137.984416352463
20050210,134.6544333826556
20050211,134.77972226957831
20050212,134.77972226957831
20050213,134.77972226957831
20050214,138.40550356797388
20050215,136.51301120945877
20050216,138.0399509332792
20050217,141.02332449150623
20050218,146.73680085716273
20050219,146.73680085716273
20050220,146.73680085716273
20050221,146.73680085716273
20050222,149.61518659307825
20050223,146.76362477417928
20050224,150.26061029269928
20050225,146.23608133479877
20050226,146.23608133479877
20050227,146.23608133479877
20050228,141.02314963125582
20050301,139.5889561407102
20050302,140.9625994124212
20050303,141.90697647984118
20050304,136.53874921876277
20050305,136.53874921876277
20050306,136.53874921876277
20050307,133.4892868861667
20050308,134.37614417987186
