Date,Asia Development Capital Co Ltd
20090704,48.51289963786948
20090705,48.51289963786948
20090706,49.85733624474963
20090707,47.96051573717782
20090708,52.72772567298266
20090709,57.76072348963334
20090710,57.783241864284555
20090711,57.783241864284555
20090712,57.783241864284555
20090713,85.15289523849901
20090714,62.03586745125983
20090715,62.01822970799752
20090716,65.5116901516711
20090717,53.83897291686358
20090718,53.83897291686358
20090719,53.83897291686358
20090720,53.83897291686358
20090721,56.06813827924945
20090722,55.803885433215875
20090723,58.82834143166754
20090724,61.87065940152242
20090725,61.87065940152242
20090726,61.87065940152242
20090727,61.464792684566646
20090728,55.87589926635175
20090729,58.47092843807035
20090730,58.60485178331122
20090731,61.9322014050058
20090801,61.9322014050058
20090802,61.9322014050058
20090803,60.801900533888386
20090804,57.76028639553671
20090805,58.167187976862316
20090806,58.16476672615184
20090807,57.130905896003526
20090808,57.130905896003526
20090809,57.130905896003526
20090810,55.500448817826985
20090811,55.11962798974624
20090812,52.61858653087829
20090813,50.439934016522145
20090814,51.997326380364605
20090815,51.997326380364605
20090816,51.997326380364605
20090817,54.71584205320561
20090818,55.352452807729506
20090819,57.411220811909374
20090820,57.144728735963135
20090821,57.197422354188156
20090822,57.197422354188156
20090823,57.197422354188156
20090824,57.2728034731753
20090825,54.763197202864134
20090826,52.273484843626704
20090827,55.12254760157882
20090828,55.130652140963576
20090829,55.130652140963576
20090830,55.130652140963576
20090831,54.53379658951808
20090901,56.8980395983127
20090902,59.63267655867403
20090903,57.1513593366143
20090904,57.5330655645083
20090905,57.5330655645083
20090906,57.5330655645083
20090907,57.701204443731136
20090908,59.833324321851386
20090909,57.33905779596813
20090910,56.84907264647095
20090911,58.73399603281071
20090912,58.73399603281071
20090913,58.73399603281071
20090914,62.13064419635942
20090915,66.06176025246782
20090916,69.20129443132699
20090917,73.01889972014273
20090918,78.0623046666501
20090919,78.0623046666501
20090920,78.0623046666501
20090921,78.0623046666501
20090922,78.0623046666501
20090923,78.0623046666501
20090924,86.56544871329139
20090925,87.09077908944523
20090926,87.09077908944523
20090927,87.09077908944523
20090928,92.02104259659154
20090929,81.38892966119197
20090930,71.25326005014453
20091001,76.79572826274077
20091002,82.09539171102602
20091003,82.09539171102602
20091004,82.09539171102602
20091005,82.43606920042386
20091006,81.38943998709878
20091007,75.01647406571783
20091008,77.65821947580697
20091009,68.42519161627716
20091010,68.42519161627716
20091011,68.42519161627716
20091012,68.42519161627716
20091013,68.27894796030535
20091014,69.83710956360919
20091015,75.61600211820648
20091016,79.64550400238853
20091017,79.64550400238853
20091018,79.64550400238853
20091019,79.86884090931376
20091020,79.26329572017133
20091021,80.54724507798622
20091022,75.6100032275606
20091023,75.62323003633786
20091024,75.62323003633786
20091025,75.62323003633786
20091026,74.82253038803479
20091027,73.74259861277993
20091028,74.49410113412567
20091029,81.01138376258265
20091030,79.91116662233334
20091031,79.91116662233334
20091101,79.91116662233334
20091102,78.79585797188685
20091103,78.79585797188685
20091104,80.4694401823237
20091105,88.12802962212685
20091106,81.3083833504405
20091107,81.3083833504405
20091108,81.3083833504405
20091109,74.80742005572542
20091110,80.98819429851152
20091111,80.09585802291774
20091112,74.65599094219598
20091113,75.05779824238894
20091114,75.05779824238894
20091115,75.05779824238894
20091116,74.79455500369454
20091117,80.32142203991884
20091118,94.47903687241688
20091119,88.16927608727867
20091120,86.725021066177
20091121,86.725021066177
20091122,86.725021066177
20091123,86.725021066177
20091124,87.61062526660326
20091125,102.59355278520613
20091126,93.44661649583531
20091127,94.47952155342392
20091128,94.47952155342392
20091129,94.47952155342392
20091130,89.42257233364913
20091201,77.43267808448603
20091202,76.34128570322666
20091203,61.42850462002593
20091204,57.811204009308796
20091205,57.811204009308796
20091206,57.811204009308796
20091207,63.517124761797085
20091208,59.029349206202475
20091209,63.201216590487206
20091210,79.98848643243136
20091211,74.57605202780728
20091212,74.57605202780728
20091213,74.57605202780728
20091214,73.68886551458063
20091215,70.31607640481967
20091216,80.8919870617138
20091217,70.68621479619766
20091218,70.41941547797379
20091219,70.41941547797379
20091220,70.41941547797379
20091221,75.69578173626344
20091222,76.12690381725545
20091223,76.12690381725545
20091224,75.92525008549958
20091225,71.17869399798742
20091226,71.17869399798742
20091227,71.17869399798742
20091228,71.49722393817171
20091229,71.76085458635316
20091230,76.12651048437141
20091231,76.12651048437141
20100101,76.12651048437141
20100102,76.12651048437141
20100103,76.12651048437141
20100104,76.09021122986618
20100105,74.59156685475021
20100106,74.71420223642383
20100107,70.01796092758583
20100108,74.77528245355026
20100109,74.77528245355026
20100110,74.77528245355026
20100111,74.77528245355026
20100112,85.9143733962664
20100113,84.315458867215
20100114,77.87375753805169
20100115,89.55983962073843
20100116,89.55983962073843
20100117,89.55983962073843
20100118,83.19967929514499
20100119,83.56832920593907
20100120,83.09251837383862
20100121,76.61716788672133
20100122,89.89899314896452
20100123,89.89899314896452
20100124,89.89899314896452
20100125,82.4599287328503
20100126,75.69938994637371
20100127,83.74797422628481
20100128,91.58939730179068
20100129,89.93919650700535
20100130,89.93919650700535
20100131,89.93919650700535
20100201,89.52977089703818
20100202,89.21000035939392
20100203,81.05696624394528
20100204,89.82608564518645
20100205,90.22143757985823
20100206,90.22143757985823
20100207,90.22143757985823
20100208,90.65773943154504
20100209,83.25198700873173
20100210,83.98477830282194
20100211,83.98477830282194
20100212,82.47169024434945
20100213,82.47169024434945
20100214,82.47169024434945
20100215,90.41643506712226
20100216,90.32637605470045
20100217,82.24570588491376
20100218,82.11621575110226
20100219,91.2787532983959
20100220,91.2787532983959
20100221,91.2787532983959
20100222,88.92546349076176
20100223,88.06588305702162
20100224,80.4675348086153
20100225,87.99593309272836
20100226,84.93804836317025
20100227,84.93804836317025
20100228,84.93804836317025
20100301,85.32206495715582
20100302,83.73573298259059
20100303,82.85107661543263
20100304,90.53390754139781
20100305,90.8197512741313
20100306,90.8197512741313
20100307,90.8197512741313
20100308,83.61156473229268
20100309,82.35942130000271
20100310,83.14018919311829
20100311,77.7816955800175
20100312,84.14239804965021
20100313,84.14239804965021
20100314,84.14239804965021
20100315,71.94766316603375
20100316,78.83957950471644
20100317,72.41432202814961
20100318,67.30714862379453
20100319,73.15163848513855
20100320,73.15163848513855
20100321,73.15163848513855
20100322,73.15163848513855
20100323,68.77121427665602
20100324,69.61857358181926
20100325,75.9350434730965
20100326,75.48162895898972
20100327,75.48162895898972
20100328,75.48162895898972
20100329,83.56012934469382
20100330,75.30728390408669
20100331,79.52796868507767
20100401,79.47935505784669
20100402,80.76682183675688
20100403,80.76682183675688
20100404,80.76682183675688
20100405,80.76443579889887
20100406,73.52701803973318
20100407,73.67481186869982
20100408,67.06088931278686
20100409,68.30668515168233
20100410,68.30668515168233
20100411,68.30668515168233
20100412,73.61430800845137
20100413,79.58975978862918
20100414,79.45384811310416
20100415,72.45138963244332
20100416,72.40096888026108
20100417,72.40096888026108
20100418,72.40096888026108
20100419,72.12143773746614
20100420,74.06239823465262
20100421,78.97706903995136
20100422,73.1855939877473
20100423,73.79384108488355
20100424,73.79384108488355
20100425,73.79384108488355
20100426,73.63290380139802
20100427,73.22550650839689
20100428,68.17111618963268
20100429,68.17111618963268
20100430,65.4532280417975
20100501,65.4532280417975
20100502,65.4532280417975
20100503,65.4532280417975
20100504,65.4532280417975
20100505,65.4532280417975
20100506,72.02734859066314
20100507,72.4191697248272
20100508,72.4191697248272
20100509,72.4191697248272
20100510,72.90754576636789
20100511,73.0905886293032
20100512,73.88589653453914
20100513,73.14898286443706
20100514,79.81413050147493
20100515,79.81413050147493
20100516,79.81413050147493
20100517,124.41844008112415
20100518,110.7620051969579
20100519,109.11424546535999
20100520,108.23195208746311
20100521,122.43173356057558
20100522,122.43173356057558
20100523,122.43173356057558
20100524,108.63595413579138
20100525,108.99365274100619
20100526,110.0855605288817
20100527,110.60035398416126
20100528,110.08816863840202
20100529,110.08816863840202
20100530,110.08816863840202
20100531,114.73136457254382
20100601,114.01162825224121
20100602,129.25162672579486
20100603,115.34428170994492
20100604,114.7167886900741
20100605,114.7167886900741
20100606,114.7167886900741
20100607,115.22738630360261
20100608,114.19546349313703
20100609,127.38706502566187
20100610,114.18841619844676
20100611,126.73652886094764
20100612,126.73652886094764
20100613,126.73652886094764
20100614,125.20956435945494
20100615,123.89684231487767
20100616,122.40914290162698
20100617,136.27412786398293
20100618,153.92634851010587
20100619,153.92634851010587
20100620,153.92634851010587
20100621,119.36105171591832
20100622,132.769249753027
20100623,132.39379024462158
20100624,116.70590059864743
20100625,118.7243201413536
20100626,118.7243201413536
20100627,118.7243201413536
20100628,117.31006633193753
20100629,116.62463137519117
20100630,126.09579313748829
20100701,125.22187850597497
