Date,CRED Holding Co Ltd
20080615,123.34542065969234
20080616,128.41812413822782
20080617,133.77930406867148
20080618,128.5152705064616
20080619,132.73324302671784
20080620,133.8108126744867
20080621,133.8108126744867
20080622,133.8108126744867
20080623,140.525580575424
20080624,141.84616377308944
20080625,137.44097843104691
20080626,135.37037480688375
20080627,139.5670179974733
20080628,139.5670179974733
20080629,139.5670179974733
20080630,146.81984751036114
20080701,151.30008117225898
20080702,154.2393828289967
20080703,152.98164646303923
20080704,150.10330544739315
20080705,150.10330544739315
20080706,150.10330544739315
20080707,145.4170277612016
20080708,138.93783815203167
20080709,136.58257087849083
20080710,140.0570861845089
20080711,143.36568287059902
20080712,143.36568287059902
20080713,143.36568287059902
20080714,138.92862816210533
20080715,142.92094976751764
20080716,149.74996751426303
20080717,152.01455800786275
20080718,147.57266391922533
20080719,147.57266391922533
20080720,147.57266391922533
20080721,147.3665925208738
20080722,141.23434410158245
20080723,139.62527374123766
20080724,137.35136823056024
20080725,129.87031518992407
20080726,129.87031518992407
20080727,129.87031518992407
20080728,128.9327632757656
20080729,132.21517731949024
20080730,133.26499019820142
20080731,135.59149400187684
20080801,134.5761163514188
20080802,134.5761163514188
20080803,134.5761163514188
20080804,133.42267628313837
20080805,135.56395979459865
20080806,136.93085920374313
20080807,134.95717758173052
20080808,140.23187982310057
20080809,140.23187982310057
20080810,140.23187982310057
20080811,145.4999423398371
20080812,152.4718934039645
20080813,151.66926186498074
20080814,151.30286427855754
20080815,150.25673397902398
20080816,150.25673397902398
20080817,150.25673397902398
20080818,157.43298065379156
20080819,162.2640826925375
20080820,155.21972586446768
20080821,151.9802003624249
20080822,158.98817618629639
20080823,158.98817618629639
20080824,158.98817618629639
20080825,151.34262216566813
20080826,157.98647802564548
20080827,156.30273965045342
20080828,182.42242186414595
20080829,177.3097079838863
20080830,177.3097079838863
20080831,177.3097079838863
20080901,180.0788140466017
20080902,177.2862625634428
20080903,176.24435384510434
20080904,176.03254340270595
