Date,AEC Securities PCL,AEON Financial Service Co Ltd,AF Global Ltd,Aichi Bank Ltd/The,Aksigorta AS,AF Global Ltd,DNB ASA,FirstRand Ltd,GAM Holding AG,Gazit-Globe Ltd,GEK Terna Holding Real Estate Construction SA,Gemdale Properties & Investment Corp Ltd,Jyske Bank A/S,Kuwait Financial Centre SAK,Ladenburg Thalmann Financial Services Inc,LAMDA Development SA,Land & General Bhd,SK Securities Co Ltd,Skandinaviska Enskilda Banken AB,Skjern Bank
2012-08-14,8.072986937691542,6.610774041523013,4.860180136919862,83.38460805332616,4.983808394810056,4.860180136919862,48.94328737935907,20.702004725324414,2.9225415320525348,12.752565574213696,60.80350963863397,2.0063671252984223,46.05637639092657,10.562750842921881,58.220074318992566,42.74975102147368,2.991133762199772,35.508265431755945,17.82391107405276,26.6319332391436
2012-08-15,,6.540468356421394,4.9621284509071035,82.49877118785051,5.101752371203329,4.9621284509071035,48.52072703559455,21.5855296144518,3.0443167952073957,13.295015763934948,60.80350963863397,2.0462635616859477,45.816163633903294,11.31375017236584,53.619161395297674,42.74975102147368,4.085135154800201,35.508265431755945,17.968115836705795,26.960848827512464
2012-08-16,,7.140896406319238,4.8915334083482245,75.66186820644286,5.154529603569178,4.8915334083482245,48.05768560028631,22.12025307904632,3.0110780112646154,12.937872127259574,60.2707063424149,2.02676491113309,45.3753496257197,11.227297000006152,51.33991424374866,43.156791626528396,4.489563259923839,35.111400210052,17.94709369378229,25.63449870878025
2012-08-17,,6.972135551421917,4.880440479859343,74.86827709716667,4.9676251950449855,4.880440479859343,46.31577039481185,23.256710512702018,2.8585257906290145,12.937872127259574,59.43300369117152,1.8963308286676324,45.22426708639778,11.227297000006152,51.546423526500845,42.44417587254374,4.155744078141011,38.12444687694882,17.56296205825004,25.844138194138264
2012-08-18,,6.972135551421917,4.880440479859343,74.86827709716667,4.9676251950449855,4.880440479859343,46.31577039481185,23.256710512702018,2.8585257906290145,12.937872127259574,59.43300369117152,1.8963308286676324,45.22426708639778,11.227297000006152,51.546423526500845,42.44417587254374,4.155744078141011,38.12444687694882,17.56296205825004,25.844138194138264
2012-08-19,,6.972135551421917,4.880440479859343,74.86827709716667,4.9676251950449855,4.880440479859343,46.31577039481185,23.256710512702018,2.8585257906290145,,59.43300369117152,1.8963308286676324,45.22426708639778,11.227297000006152,51.546423526500845,42.44417587254374,4.155744078141011,38.12444687694882,17.56296205825004,25.844138194138264
2012-08-20,,6.8813857513185726,4.880440479859343,72.49340855181667,4.9676251950449855,4.880440479859343,47.259751142228005,23.05154932430457,2.8012845514860785,12.292190015005753,59.3334056874151,1.881855124532688,44.190094434540676,11.227297000006152,54.34178427374633,40.633176838041116,4.155744078141011,36.87752731264981,17.035436829110438,24.227785491502303
2012-08-21,6.9755275422186855,6.816005508169024,4.8500301425097,71.49556079419953,4.9676251950449855,4.8500301425097,45.29311536662946,22.238580379565484,2.7604338101909467,12.600503030117226,55.32466807760128,1.990379772049521,43.51886080793583,11.227297000006152,53.67173091134168,40.29487269466343,4.155744078141011,36.254560466353524,16.936244590507158,24.363845799234483
2012-08-22,,7.015698441641463,4.8301923752033895,72.72623229589945,5.085921553216637,4.8301923752033895,47.24801270850424,23.379693647585157,2.8693215486021155,13.00819020660099,50.905541943696655,2.0192792543010265,43.788096558948034,9.838969882854391,56.42614534860411,38.8521392179502,4.130409016138451,36.33754677798382,18.23983279575496,24.468296593990807
2012-08-23,7.124110025068088,6.924709405558909,4.735766637420143,74.18811449530102,5.092051051502984,4.735766637420143,47.89837531347517,23.400801298150622,2.836112802710553,12.153252744752324,53.48939944627543,1.952077467411419,42.39253700425972,9.499370480769675,54.857460364884936,39.284393554058994,4.138876195228728,34.4913121402991,18.589068835682475,24.16217626005493
