Date,Askari Bank Ltd,Beh-Property Co Ltd,Beijing Homyear Capital Holdings Co Ltd,Beijing Zodi Investment Co Ltd,CBL & Associates Properties Inc,DongfengSci-Tech Group Co Ltd,Ecobank Transnational Inc,Ecsponent Ltd,FlexiGroup Ltd/Australia,Harbin Gong Da High-Tech Enterprise Development Co Ltd,Intu Properties PLC,Jahangir Siddiqui & Co Ltd,Jilin Cheng Cheng Group Co Ltd,Metro Land Corp Ltd,Resimac Group Ltd,Soneri Bank Ltd,Tianjin Songjiang Co Ltd,UACN Property Development Co PLC
2006-05-24,43.922517710933136,,271.6299536799841,89.4734203745681,2.403332456123859,626.7968456840316,,,,,1.7990487438886873,13.599305561301925,223.19199159350967,184.96217199558552,105.22611143284334,24.375913486426548,,26.806824930792608
2006-05-25,43.64155008071539,,269.80954464548455,84.46159641814859,2.148625748656467,602.6660616150392,,,,,1.7224004269699182,14.053998782257285,223.40744038136947,185.1603259694464,106.85771564863,24.56048682617359,,26.689463373852156
2006-05-26,45.39073414940708,,271.64024987716545,79.7649004670992,2.1518122224483918,602.5063495283911,,,,,1.5523231097299734,14.310600539077745,225.9078023997441,187.25824578439602,106.9126791711605,24.81335856370544,,25.722862845325107
2006-05-27,45.39073414940708,,271.64024987716545,79.7649004670992,2.1518122224483918,602.5063495283911,,,,,1.5523231097299734,14.310600539077745,225.9078023997441,187.25824578439602,106.9126791711605,24.81335856370544,,25.722862845325107
2006-05-28,45.39073414940708,,271.64024987716545,79.7649004670992,2.1518122224483918,602.5063495283911,,,,,1.5523231097299734,14.310600539077745,225.9078023997441,187.25824578439602,106.9126791711605,24.81335856370544,,25.722862845325107
2006-05-29,48.31495625773323,,273.0973047636454,82.08422882263557,2.1518122224483918,599.4957546782574,,,,,1.5523231097299734,15.480488065889144,219.35922121276658,189.40432529650528,106.91591967583328,26.956478665281907,,25.722862845325107
2006-05-30,46.756276936459905,,265.3583705890067,77.57482001867169,2.213637323203779,606.2950768164045,,,,,1.7414219484820117,16.02155583775027,221.80928167831647,189.40946702585472,107.68459581992613,26.939391839246355,,26.853698653986303
2006-05-31,54.10209414543965,,273.94798592559073,75.92180200922334,2.2940961798462087,633.9919458627194,,,,,2.02479682704411,18.65344713428583,252.1207674619489,188.60949486379508,107.85632101460884,31.149738176629967,,27.423864526966323
2006-06-01,51.61091875580243,,253.07210514156606,75.68472428204007,2.3221073962057113,605.6737403506867,,,,,2.04544958048782,17.147309549893375,249.7880091915534,181.7753233772532,107.40671142877308,29.456891381751127,,25.936545344529804
2006-06-02,51.784066808086116,,259.87456482216004,78.9950220143169,2.232375012355923,599.4551639484299,,,,,2.0175566504000915,16.300608658271095,256.48703994408413,165.25249158210985,107.16352244863285,30.056235538911125,,24.18042222467796
2006-06-03,51.784066808086116,,259.87456482216004,78.9950220143169,2.232375012355923,599.4551639484299,,,,,2.0175566504000915,16.300608658271095,256.48703994408413,165.25249158210985,107.16352244863285,30.056235538911125,,24.18042222467796
2006-06-04,51.784066808086116,,259.87456482216004,78.9950220143169,2.232375012355923,599.4551639484299,,,,,2.0175566504000915,16.300608658271095,256.48703994408413,165.25249158210985,107.16352244863285,30.056235538911125,,24.18042222467796
2006-06-05,52.397196810528314,,262.12294656364463,79.77039667539677,2.0722449154705846,554.2179543457687,,,,,2.002491527704464,15.640683205665527,266.8254758540245,173.6945302587864,107.07140765691469,30.09590363587344,,25.50634784400013
2006-06-06,52.05985502841639,,247.2646759912239,80.98377849065204,2.219613828092025,563.4499866655145,,,,,2.1972209593069496,16.15312101531198,258.4596204997004,167.74101037057974,108.0873683744345,29.244781731082874,,25.823700989732966
2006-06-07,54.777317129573916,,261.4280873569616,85.76064252697435,2.2480611913439854,577.7869180642957,,,,,2.180670633625925,16.046934219624298,271.87666464657843,183.83682901371517,109.39258182308652,30.904600898164407,,26.271430855976963
2006-06-08,59.63191186458037,,253.28654733945515,83.56174966554335,2.356664662616808,560.2218657402636,,,,,2.3657483080942963,17.771256849128466,261.1012757195264,190.13521996745456,116.89404539515878,32.95875323756034,,25.417420382713686
2006-06-09,57.93638777116094,,261.242341828546,83.47308923542181,2.3072660945015078,587.5251823185787,,,,,2.276811548980477,17.127149136579146,264.99164336157816,187.3133032327637,116.81632892867904,32.80472356992871,,24.35973104928768
2006-06-10,57.93638777116094,,261.242341828546,83.47308923542181,2.3072660945015078,587.5251823185787,,,,,2.276811548980477,17.127149136579146,264.99164336157816,187.3133032327637,116.81632892867904,32.80472356992871,,24.35973104928768
2006-06-11,57.93638777116094,,261.242341828546,83.47308923542181,2.3072660945015078,587.5251823185787,,,,,2.276811548980477,17.127149136579146,264.99164336157816,187.3133032327637,116.81632892867904,32.80472356992871,,24.35973104928768
2006-06-12,57.94214760734258,,241.90678976209347,87.4892317573628,2.395078008441261,595.0841215634209,,,,,2.3248053851932533,18.050344742091657,266.95252727933894,188.81380697013267,116.81632892867904,32.524047210275114,,26.073821267205602
2006-06-13,62.96156716901642,,234.4385738154266,85.24666799914714,2.47287785634097,580.5333464041532,,,,,2.4738104913041847,19.800783227314906,277.41047179134057,188.8969793294681,118.47835533749712,35.86378444691718,,25.25368939520645
2006-06-14,67.55245842364626,,231.30190064509583,87.25223497340343,2.477919049109482,581.2692841866577,,,,,2.476653957085002,21.451078639874638,276.5625618399638,188.65884742060416,120.51389286773902,39.19012206582296,,23.96650509221395
2006-06-15,63.96375230344197,,234.33424508508418,93.25418990517359,2.330986809535168,576.7603919892397,,,,,2.166499761394089,21.689129578968306,276.25610839516844,190.21373748011945,119.88820777146812,37.314805095892574,,22.28014194547036
2006-06-16,58.522486183962755,,233.41874517738253,92.55564512339052,2.3087429086307725,567.9092047841398,,,,,2.3052973919253454,19.74420655250468,270.9602455285742,191.32671897553868,119.83584325562192,33.689894944462274,,21.670851196494283
2006-06-17,58.522486183962755,,233.41874517738253,92.55564512339052,2.3087429086307725,567.9092047841398,,,,,2.3052973919253454,19.74420655250468,270.9602455285742,191.32671897553868,119.83584325562192,33.689894944462274,,21.670851196494283
2006-06-18,58.522486183962755,,233.41874517738253,92.55564512339052,2.3087429086307725,567.9092047841398,,,,,2.3052973919253454,19.74420655250468,270.9602455285742,191.32671897553868,119.83584325562192,33.689894944462274,,21.670851196494283
2006-06-19,57.13655457528375,,239.96610827466012,92.37911952897646,2.4059507805041167,579.1437617943309,,,,,2.338902361840469,19.99577684154639,268.9776162298269,191.91089622627544,119.70344082400356,32.78607698606902,,24.881462372236644
2006-06-20,57.34116184041234,,238.66220909195144,91.0451955592015,2.413266553161713,581.3629995410621,,,,,2.277848400935266,19.581702058602012,265.9276508312988,190.27690090013505,120.04293682156607,33.506253187080105,,24.87114222736528
2006-06-21,55.342525348066424,,247.1612316183281,88.77775302974779,2.3247676460882882,582.2329605744044,,,,,2.316596465210734,18.830280519851986,271.1057442729308,191.54741007700855,120.50290852741402,33.32475569882601,,25.0731722070666
2006-06-22,56.672406828353736,,248.22550083784043,91.04314032140397,2.3848403238958595,579.1279827546009,,,,,2.2532748127947206,19.03076867014586,276.1629362859435,191.39126966474274,119.50337224240444,33.692820904168016,,24.25607781416829
