Date,AID Life Science Holdings Ltd,ALTA SA,AMP Ltd,AQ Estate PCL,Agat Ejendomme A/S,Akbank T.A.S.,Akita Bank Ltd/The,Al Mal Investment Co KSC,Al-Massaleh Real Estate Co KSC,Allahabad Bank,Alliance Data Systems Corp,Alpha Bank AE,Anadolu Hayat Emeklilik AS,Andhra Bank,Aplus Financial Co Ltd,Arlington Asset Investment Corp,Ashford Hospitality Trust Inc,Asia Orient Holdings Ltd,Asian Pac Holdings Bhd,Australia & New Zealand Banking Group Ltd
2016-07-06,0.5734868478605345,0.06889044143484764,0.19414060651026965,0.08086771550120453,0.1606866162345601,0.2262808102881333,0.27019213888838456,0.15487900592756915,0.27146680712270344,0.39556732395575084,0.08652380408482274,0.8366584558738905,0.27918455033680956,0.33102084558500444,0.15770456007300176,0.7532770973744295,0.18177509631295163,0.3482009050504442,0.07612208905264636,0.3879967303365298
2016-07-07,0.5768728171356448,0.06720022668504572,0.18607094711549266,0.08086771550120453,0.15293811062945548,0.2262808102881333,0.27199084253086847,0.15487900592756915,0.27146680712270344,0.39596003470839847,0.0840395007437723,0.7869427085041814,0.27918455033680956,0.330153685403511,0.16549047171025572,0.7530234239337176,0.17330948520853684,0.34638873458629044,0.07612208905264636,0.3820364982341043
2016-07-08,0.6018846402801491,0.06558854699789571,0.1854121733523916,0.08086771550120453,0.1526280048195718,0.2266126796334597,0.2818229773735271,0.15487900592756915,0.27146680712270344,0.3733547301012621,0.0815487731501905,0.6894893149389119,0.27581970089711627,0.32124300703093916,0.17629379768970932,0.7567749478532368,0.15442755968545435,0.3538603981037374,0.07678632758128327,0.3791772798385877
2016-07-09,0.6018846402801491,0.06558854699789571,0.1854121733523916,0.08086771550120453,0.1526280048195718,0.2266126796334597,0.2818229773735271,0.15487900592756915,0.27146680712270344,0.3733547301012621,0.0815487731501905,0.6894893149389119,0.27581970089711627,0.32124300703093916,0.17629379768970932,0.7567749478532368,0.15442755968545435,0.3538603981037374,0.07678632758128327,0.3791772798385877
2016-07-10,0.6018846402801491,0.06558854699789571,0.1854121733523916,0.08086771550120453,0.1526280048195718,0.2266126796334597,0.2818229773735271,0.15487900592756915,0.27146680712270344,0.3733547301012621,0.0815487731501905,0.6894893149389119,0.27581970089711627,0.32124300703093916,0.17629379768970932,0.7567749478532368,0.15442755968545435,0.3538603981037374,0.07678632758128327,0.3791772798385877
2016-07-11,0.6331136032716086,0.07673719090079807,0.1734397475145083,0.08086771550120453,0.15761079382252918,0.22134988040715714,0.24896711282600642,0.16926250595163136,0.27146680712270344,0.33487891207975884,0.07065705834997277,0.6372766919047897,0.27167104200940445,0.3049138657726329,0.1608637530740942,0.7281060136054082,0.1416416871919382,0.3547936798070407,0.07284749007859137,0.3506922341413325
2016-07-12,0.6956510799302121,0.06525049363773049,0.168974037162324,0.08086771550120453,0.15146269878304552,0.19185329589423408,0.23753123014948602,0.1648241579873306,0.27146680712270344,0.33931492240907674,0.06845798379964597,0.6118473885855656,0.2638781823223207,0.3029969238627084,0.1559323080169377,0.7198100555899067,0.13438836719860545,0.3201929280067833,0.07700579968993865,0.3400438492792281
2016-07-13,0.6466120457578753,0.07307513492371057,0.15992779387551204,0.08086771550120453,0.14829075786206591,0.19673303336413114,0.23459177090288955,0.1607878580315187,0.27146680712270344,0.35775986876327387,0.07154365021327976,0.588636767336044,0.27187524230898924,0.3139177275333691,0.15137835109261752,0.7188937808697414,0.14559739483461903,0.31939791428881864,0.07313815649144335,0.32906092728917485
2016-07-14,0.6571518412455604,0.07159130981338882,0.15034914208224703,0.08086771550120453,0.150425413658568,0.19029078291176152,0.23979822962977618,0.17270597171273316,0.27146680712270344,0.3427115034952612,0.06858250458762362,0.5746008415120127,0.2607819396004196,0.3036392393481219,0.1608817823368954,0.7176465455983164,0.16153137320292418,0.31773797238337154,0.07461597913197798,0.317674772270186
2016-07-15,0.6756364476900966,0.06580480906062419,0.14917340864672024,0.08086771550120453,0.14578038923387382,0.18412415887115519,0.23883982069440318,0.17270597171273316,0.27146680712270344,0.36531802391323354,0.06783295139908256,0.5869776168446991,0.2492530425800746,0.31518053473933005,0.16264273220783532,0.7137324302680217,0.15310830153433885,0.3286879148631046,0.07648048456039476,0.31594261656406636
2016-07-16,0.6756364476900966,0.06580480906062419,0.14917340864672024,0.08086771550120453,0.14578038923387382,0.18412415887115519,0.23883982069440318,0.17270597171273316,0.27146680712270344,0.36531802391323354,0.06783295139908256,0.5869776168446991,0.2492530425800746,0.31518053473933005,0.16264273220783532,0.7137324302680217,0.15310830153433885,0.3286879148631046,0.07648048456039476,0.31594261656406636
2016-07-17,0.6756364476900966,0.06580480906062419,0.14917340864672024,0.08086771550120453,0.14578038923387382,0.18412415887115519,0.23883982069440318,0.17270597171273316,0.27146680712270344,0.36531802391323354,0.06783295139908256,0.5869776168446991,0.2492530425800746,0.31518053473933005,0.16264273220783532,0.7137324302680217,0.15310830153433885,0.3286879148631046,0.07648048456039476,0.31594261656406636
2016-07-18,0.696248910434376,0.06830207839436372,0.14806708346356476,0.08086771550120453,0.139451935593217,0.24644081662151088,0.23883982069440318,0.1798592174140148,0.27146680712270344,0.3937166884098893,0.06907446770643491,0.603047962736054,0.3077066052362565,0.330169654926446,0.16264273220783532,0.7029976627202424,0.13519587353965493,0.3296401576320833,0.0764123127786084,0.31530608335187266
2016-07-19,0.6966479819341022,0.06512019175329758,0.14424768472704846,0.08086771550120453,0.13567310202135904,0.27472942156039987,0.23809751452033812,0.18994046381239127,0.2764643100932286,0.3881087863600431,0.06607624637250968,0.5696624397823443,0.3243489830016232,0.33103105648737285,0.1702807871096375,0.6983947516698227,0.12326406128944384,0.31342175113587556,0.07074605993724957,0.3188258655990357
2016-07-20,0.649251011404224,0.06489368441357228,0.1405006792455795,0.08086771550120453,0.13546837436334047,0.3085100071935845,0.2471944261922113,0.18491609905022766,0.2764643100932286,0.37808537485125326,0.06570137552427363,0.5773450294124394,0.33145867855337463,0.32168510025438285,0.17156855939091975,0.6943374127111346,0.11220427190597522,0.3012303000144199,0.06946405127056993,0.31159796888652347
2016-07-21,0.6645620409481973,0.06459678175064182,0.13642374078469685,0.08086771550120453,0.13859811687007573,0.3488058153059017,0.24693085698334824,0.20419393498760066,0.2764643100932286,0.38560840179216366,0.05885967427528331,0.6045690687303112,0.3657259616674061,0.3225194408330102,0.16525747052288928,0.6923037835175242,0.11820792204878135,0.27907295080303807,0.07574047614768457,0.30494213026608036
2016-07-22,0.6623094585192902,0.06424930245055566,0.14031616444881745,0.08086771550120453,0.13604538878579175,0.3380481271701043,0.24889242177391047,0.20419393498760066,0.2764643100932286,0.3762685032492822,0.05755182512613713,0.5503119869061188,0.33795014779422594,0.31230369251295925,0.1698957456164881,0.6932938034468507,0.11874876621320515,0.2631910016864392,0.07601734967574943,0.3100745738694609
2016-07-23,0.6623094585192902,0.06424930245055566,0.14031616444881745,0.08086771550120453,0.13604538878579175,0.3380481271701043,0.24889242177391047,0.20419393498760066,0.2764643100932286,0.3762685032492822,0.05755182512613713,0.5503119869061188,0.33795014779422594,0.31230369251295925,0.1698957456164881,0.6932938034468507,0.11874876621320515,0.2631910016864392,0.07601734967574943,0.3100745738694609
2016-07-24,0.6623094585192902,0.06424930245055566,0.14031616444881745,0.08086771550120453,0.13604538878579175,0.3380481271701043,0.24889242177391047,0.20419393498760066,0.2764643100932286,0.3762685032492822,0.05755182512613713,0.5503119869061188,0.33795014779422594,0.31230369251295925,0.1698957456164881,0.6932938034468507,0.11874876621320515,0.2631910016864392,0.07601734967574943,0.3100745738694609
2016-07-25,0.6760781464326948,0.06406060233480941,0.1324932861496664,0.08086771550120453,0.13366788184548745,0.2988105209108336,0.2567814747681019,0.20488138353562008,0.2764643100932286,0.3354391440618978,0.05840485126925577,0.5808384916141296,0.29534826745333337,0.2945586397620325,0.1711608844978872,0.7044862763485276,0.11785647237709991,0.2621438714100466,0.07364912887952242,0.3063109621759952
