Date,Urstadt Biddle Properties Inc
20070904,0.019378119795410778
20070905,0.018774260824581907
20070906,0.019253782794066875
20070907,0.02384638523250333
20070908,0.02384638523250333
20070909,0.02384638523250333
20070910,0.024666722532812595
20070911,0.021764155425167672
20070912,0.024357875491881495
20070913,0.02359281379534083
20070914,0.023006021811050083
20070915,0.023006021811050083
20070916,0.023006021811050083
20070917,0.0241094719643482
20070918,0.01798327860138637
20070919,0.021387153727966377
20070920,0.023189717901632382
20070921,0.026128288124426066
20070922,0.026128288124426066
20070923,0.026128288124426066
20070924,0.02397661189983726
20070925,0.025316634223460505
20070926,0.025130866709257654
20070927,0.02554131576701943
20070928,0.046873227869232766
20070929,0.046873227869232766
20070930,0.046873227869232766
20071001,0.04390788961212709
20071002,0.04518667669411058
20071003,0.04743166392931439
20071004,0.044134487659217105
20071005,0.034607883176425824
20071006,0.034607883176425824
20071007,0.034607883176425824
20071008,0.03646802078709112
20071009,0.03705123057442945
20071010,0.03464026445927382
20071011,0.03163023709038142
20071012,0.03448712068000286
20071013,0.03448712068000286
20071014,0.03448712068000286
20071015,0.03706096038431896
20071016,0.0367306503115179
20071017,0.03824824782416448
20071018,0.035944376707222704
20071019,0.045708552506642415
20071020,0.045708552506642415
20071021,0.045708552506642415
20071022,0.04276481807692301
20071023,0.040848950056379105
20071024,0.04373773953364827
20071025,0.04282872961560249
20071026,0.04381783793562197
20071027,0.04381783793562197
20071028,0.04381783793562197
20071029,0.044489197898586734
20071030,0.04431109351087459
20071031,0.05362687253825929
20071101,0.059858426530063714
20071102,0.05857620094837961
20071103,0.05857620094837961
20071104,0.05857620094837961
20071105,0.06358401926726799
20071106,0.06092169490090708
20071107,0.06554621798641146
20071108,0.05901830080231894
20071109,0.05870488963151147
20071110,0.05870488963151147
20071111,0.05870488963151147
20071112,0.0521794584013641
20071113,0.045224667645480665
20071114,0.0486020057757898
20071115,0.04866816807311449
20071116,0.06030956547952265
20071117,0.06030956547952265
20071118,0.06030956547952265
20071119,0.06293642190985353
20071120,0.05681938952082554
20071121,0.053063953308637904
20071122,0.053063953308637904
20071123,0.0494135516518536
20071124,0.0494135516518536
20071125,0.0494135516518536
20071126,0.05966696119354236
20071127,0.051692655125206745
20071128,0.042010975610456656
20071129,0.049632338651609285
20071130,0.08565306035489749
20071201,0.08798048895925316
